"model"	"n.muts"	"coes"	"sigma"	"u.mean"	"d.hat.MLE"	"u.hats.A"	"u.hats.B"	"u.hats.C"	"u.hats.D"	"u.hats.E"	"u.hats.F"	"u.hats.G"	"u.hats.H"	"u.hats.I"	"R2.stick"	"sig.stick"	"lnL.stick"	"P.stick"	"s.mean"	"s.hats.A"	"s.hats.B"	"s.hats.C"	"s.hats.D"	"s.hats.E"	"s.hats.F"	"s.hats.G"	"s.hats.H"	"s.hats.I"	"R2.mult"	"sig.mult"	"lnL.mult"	"P.mult"	"w.mean"	"w.hats.A"	"w.hats.B"	"w.hats.C"	"w.hats.D"	"w.hats.E"	"w.hats.F"	"w.hats.G"	"w.hats.H"	"w.hats.I"	"R2.add"	"sig.add"	"lnL.add"	"P.add"
"stick"	9	0.498218256118707	0.102430307480972	0.303857449299136	1.45275846518733	0.2546	0.28773	0.35157	0.24336	0.25915	0.35118	0.3048	0.3309	0.35143	0.61506	0.10836	23.49422	-13.20482	0.302785874085114	0.25335	0.23184	0.37018	0.1872	0.24879	0.39469	0.34613	0.32307	0.36984	0.08982	0.16662	11.44669	-24.86547	0.362085259611939	0.3056	0.30355	0.43399	0.25058	0.30296	0.44646	0.39168	0.39303	0.43092	0.45344	0.12912	18.58654	-15.85872
"stick"	9	0.205864543945063	0.00858652597526088	0.235734356255688	0.882857404843984	0.23516	0.23099	0.24647	0.23724	0.2322	0.24044	0.238	0.23074	0.23037	0.99316	0.00631	103.09601	-3.41231	0.158408269701895	0.15271	0.14833	0.16915	0.15126	0.15466	0.17223	0.17097	0.14885	0.1575	0.7191	0.04046	51.07656	-52.13194	0.176571628255638	0.17271	0.16866	0.18694	0.17241	0.17308	0.18696	0.18542	0.16871	0.17426	0.89424	0.02483	64.75278	-36.03828
"stick"	9	0.251924554666039	0.00444737088400871	0.253956963693903	0.990683658968219	0.25451	0.25124	0.25538	0.25776	0.25238	0.25253	0.25502	0.25389	0.25291	0.9986	0.00337	120.6361	-5.18957	0.185154865727678	0.17837	0.17246	0.19073	0.1777	0.182	0.19802	0.20092	0.17786	0.18834	0.64235	0.05402	42.98345	-79.70617	0.210407390285647	0.20628	0.2013	0.21451	0.20712	0.20788	0.21798	0.22085	0.20572	0.21202	0.87817	0.03153	58.06038	-61.2618
"stick"	9	0.122653281828389	0.205542120907921	0.104613972897714	1.25137681547228	0.12113	0.01002	0.16375	0.09238	0.16323	-0.01948	0.28862	0.08637	0.0355	0.14017	0.18875	7.95542	-20.16052	0.117764176269457	0.17031	0.01907	0.18524	0.1056	0.14802	-0.06492	0.34748	0.1027	0.04638	0.07371	0.19591	6.91307	-18.31607	0.123977010826863	0.15867	0.01772	0.19356	0.1076	0.17552	-0.04156	0.35109	0.1051	0.04808	0.12544	0.19036	7.71762	-18.68023
"stick"	9	0.166465342603624	0.0258758784621023	0.11917746672517	1.36817598468402	0.11617	0.12631	0.11324	0.11867	0.12922	0.10846	0.12716	0.12579	0.10758	0.921	0.02076	69.76161	-7.16299	0.136855149176413	0.13023	0.14176	0.13032	0.13415	0.14904	0.13164	0.15201	0.14014	0.12242	0.83831	0.0297	59.73466	-16.15171	0.150202252028975	0.1448	0.15764	0.14274	0.14864	0.16328	0.14032	0.16323	0.15631	0.13485	0.90293	0.02301	66.87789	-9.71872
"stick"	9	0.360634472104721	0.216913229436614	0.0688275349460031	5.25705769598048	0.07857	0.08373	0.06316	0.05308	0.09662	0.08847	0.03371	0.05971	0.06239	0.42182	0.23112	2.28514	-12.23397	0.289735489235589	0.28958	0.35593	0.24445	0.1968	0.41635	0.42812	0.14757	0.27073	0.2581	0.35902	0.24334	0.84158	-14.81299	0.345117575073707	0.38349	0.42193	0.31119	0.25943	0.4883	0.45678	0.16983	0.30451	0.31061	0.41849	0.23178	2.2049	-12.73152
"stick"	9	0.429074877174571	0.246570480463561	0.350933712219499	1.01396451480402	0.52269	0.65451	0.62616	0.12547	0.23936	0.50099	-0.26573	0.35108	0.40388	0.19146	0.21948	3.73198	-18.23006	0.217414703182143	0.23104	0.35651	0.41149	0.1552	0.14332	0.31392	-0.01389	0.1562	0.20294	-0.21245	0.26876	-1.94033	-27.48863	0.255962484503185	0.28327	0.44007	0.48154	0.17566	0.17032	0.36613	-0.04493	0.18392	0.24768	-0.00767	0.24502	0.64971	-23.26736
"stick"	9	0.338212412048597	0.178662824735511	0.165465819290849	1.69000787139715	0.21449	0.19261	0.20446	0.17385	0.19466	0.1377	0.16816	0.03242	0.17084	0.28918	0.20983	4.98999	-13.26312	0.188405195638098	0.23941	0.19961	0.27638	0.19027	0.18875	0.15946	0.19008	0.05234	0.19935	0.07982	0.23874	1.37586	-14.91033	0.230195035004078	0.29513	0.25541	0.3139	0.23784	0.24685	0.19292	0.23466	0.05451	0.24055	0.22853	0.2186	3.84362	-14.34862
"stick"	9	0.209174596064258	0.142278407991398	0.33057226873237	0.728658977390937	0.31643	0.28427	0.31588	0.39863	0.5702	0.26691	0.27119	0.28316	0.26849	0.45863	0.09794	26.32597	-15.99429	0.16735294791968	0.15255	0.15911	0.17699	0.17944	0.30083	0.15387	0.16314	0.12539	0.09485	0.13915	0.1235	19.83264	-21.35265	0.187434763106612	0.17441	0.17647	0.19395	0.20589	0.33461	0.16652	0.17467	0.14696	0.11344	0.28319	0.11269	22.39621	-18.90728
"stick"	9	0.375783050397877	0.0419766167760827	0.373969921322312	0.972841796555536	0.36903	0.36851	0.34239	0.38519	0.36349	0.37683	0.33169	0.41844	0.41016	0.91285	0.03471	55.36733	-4.01366	0.229749525090212	0.21288	0.21232	0.21449	0.21736	0.22193	0.25711	0.23604	0.24081	0.25479	-0.00742	0.11802	21.10197	-40.77139	0.272468223449778	0.25874	0.25972	0.25151	0.26711	0.26413	0.29238	0.26544	0.2934	0.29978	0.54285	0.07951	32.16387	-24.69402
