"model"	"n.muts"	"coes"	"sigma"	"u.mean"	"d.hat.MLE"	"u.hats.A"	"u.hats.B"	"u.hats.C"	"u.hats.D"	"u.hats.E"	"u.hats.F"	"u.hats.G"	"u.hats.H"	"u.hats.I"	"R2.stick"	"sig.stick"	"lnL.stick"	"P.stick"	"s.mean"	"s.hats.A"	"s.hats.B"	"s.hats.C"	"s.hats.D"	"s.hats.E"	"s.hats.F"	"s.hats.G"	"s.hats.H"	"s.hats.I"	"R2.mult"	"sig.mult"	"lnL.mult"	"P.mult"	"w.mean"	"w.hats.A"	"w.hats.B"	"w.hats.C"	"w.hats.D"	"w.hats.E"	"w.hats.F"	"w.hats.G"	"w.hats.H"	"w.hats.I"	"R2.add"	"sig.add"	"lnL.add"	"P.add"
"stick"	9	0.377350302529521	0.0194042664952576	0.3925376465511	0.961649882838922	0.39379	0.39297	0.38999	0.39951	0.39634	0.38909	0.38512	0.40524	0.38078	0.96899	0.01991	70.93372	-3.91445	0.236423523561674	0.2234	0.21279	0.24282	0.22183	0.23227	0.26263	0.26026	0.23041	0.2414	-0.08977	0.11803	21.10165	-55.31605	0.28080825678082	0.27192	0.26336	0.28447	0.27293	0.2787	0.29832	0.29556	0.28038	0.28164	0.54098	0.0766	33.20659	-37.02634
"stick"	9	0.284875944512896	0.224633791774977	0.35706558366124	0.922765966140456	0.4179	0.34551	0.77138	0.01895	0.49667	0.46262	0.32591	0.13167	0.24297	0.28329	0.21706	4.04231	-14.86139	0.208339568108391	0.20286	0.2165	0.50197	0.06442	0.31924	0.31572	0.17598	0.0529	0.02547	-0.04185	0.2617	-1.1949	-23.96686	0.238103927955322	0.24963	0.241	0.56673	0.05425	0.34105	0.35156	0.20114	0.06024	0.07735	0.09756	0.24356	0.81625	-20.08682
"stick"	9	0.495572261640336	0.184767685714178	0.200788554662378	2.1476990591736	0.14982	0.20514	0.21782	0.18372	0.26115	0.24763	0.23892	0.09502	0.20787	0.68182	0.12605	19.25902	-6.53084	0.298401322080758	0.21982	0.27369	0.34762	0.24844	0.37591	0.38842	0.38707	0.14815	0.29649	0.34431	0.18095	9.13634	-14.89155	0.369044471446963	0.2754	0.36071	0.416	0.32425	0.47361	0.46473	0.45594	0.17944	0.37131	0.61432	0.13878	16.56592	-8.15897
"stick"	9	0.16069644378731	0.0489673559204675	0.418313618747354	0.513329723337375	0.411	0.41504	0.43872	0.4886	0.44734	0.33597	0.4667	0.40775	0.35371	0.43357	0.07773	32.79554	-9.06806	0.159571095044883	0.15019	0.14608	0.17636	0.18058	0.1761	0.12846	0.20758	0.14191	0.12887	0.65396	0.06076	39.69484	-8.31526	0.172369755036973	0.16406	0.16074	0.18806	0.19714	0.18897	0.13858	0.21635	0.1573	0.14013	0.62071	0.06361	38.41041	-7.80187
"stick"	9	0.468277060100809	0.229955441609491	0.363574922119248	1.13391991637363	0.36755	0.55414	0.24519	0.55879	0.42996	0.16609	-0.02185	0.5089	0.46342	0.28094	0.21328	4.53348	-14.63859	0.205020848810407	0.29214	0.25135	0.14106	0.30868	0.24784	0.16847	0.00033	0.19596	0.23935	-1.01392	0.35694	-9.88501	-44.98666	0.252739524801508	0.34347	0.31758	0.16041	0.40201	0.31704	0.18273	-0.00626	0.26184	0.29584	-0.50831	0.3089	-5.8377	-33.87259
"stick"	9	0.417118658602703	0.216282415145542	0.409658092385826	1.18160183445959	0.49299	0.47393	0.53414	0.39376	0.46516	0.25227	0.38322	0.35339	0.33806	0.24117	0.18722	8.18312	-6.65146	0.249001767644694	0.28943	0.25491	0.36904	0.21539	0.29379	0.17471	0.31321	0.16241	0.1681	-1.10187	0.31159	-6.08017	-26.06844	0.310411699684093	0.37188	0.33554	0.44982	0.28326	0.36752	0.1991	0.363	0.21472	0.20886	-0.45224	0.259	-0.90411	-16.3761
"stick"	9	0.0644487025798298	0.19694656948559	0.0457716616158711	2.56294509925904	-0.04551	0.05601	0.08261	-0.02505	0.1181	0.09072	0.09685	0.00617	0.03205	0.42278	0.15618	13.25851	-19.25578	0.115901544232821	-0.08887	0.13224	0.22469	-0.05811	0.288	0.23424	0.21724	0.01952	0.07417	0.38641	0.16103	12.40311	-18.10358	0.116529388040044	-0.10677	0.13937	0.21449	-0.06155	0.29697	0.23169	0.23825	0.01745	0.07887	0.41937	0.15664	13.17612	-18.56215
"stick"	9	0.14250435695285	0.0833909573266283	0.323449297129634	0.468776507256765	0.48568	0.27343	0.31168	0.34189	0.22229	0.16488	0.08063	0.53561	0.49496	0.36086	0.06388	38.29186	-15.42993	0.102550574362229	0.15946	0.08642	0.11482	0.07297	0.06444	0.06463	0.05105	0.13376	0.17541	-0.35741	0.09309	27.74699	-29.03714	0.111282824254178	0.17447	0.09484	0.1223	0.08207	0.07118	0.0678	0.05024	0.15034	0.1883	-0.15271	0.08578	30.03544	-25.89586
"stick"	9	0.347427719784901	0.0641885150107555	0.410539644972863	0.823924027324505	0.46485	0.38407	0.54278	0.46278	0.40651	0.38542	0.24918	0.41639	0.38287	0.70441	0.0657	37.50552	-7.67369	0.203695993002207	0.22362	0.18094	0.28098	0.20999	0.17482	0.1965	0.15823	0.1954	0.21278	-0.27246	0.13631	17.06946	-34.90141	0.238953416564755	0.26733	0.21746	0.32523	0.25547	0.21194	0.2239	0.17246	0.23411	0.24268	0.22136	0.10663	23.94562	-24.9909
"stick"	9	0.381219374155626	0.156007527024485	0.0405230707866568	8.11474412399244	0.04026	0.03629	0.0463	0.04202	0.03324	0.02825	0.0496	0.04438	0.04438	0.7876	0.08	31.98979	-8.13442	0.273237141269617	0.25812	0.22806	0.31504	0.27287	0.22063	0.19606	0.36364	0.29638	0.30832	0.7172	0.09231	27.98251	-17.98599	0.320880947641102	0.31656	0.28457	0.36707	0.33099	0.26259	0.22453	0.39746	0.35115	0.353	0.78632	0.08024	31.90599	-9.57205
"stick"	9	0.0678216402418911	0.131039056752343	0.0242748410184851	2.29371821053335	0.04162	0.03918	-0.05649	0.04376	0.07372	0.03601	0.01684	0.01355	0.01029	0.25898	0.11628	21.5177	-15.93006	0.0520569430710005	0.08449	0.08435	-0.10865	0.08851	0.1517	0.07633	0.0317	0.03068	0.02941	0.25163	0.11686	21.37938	-13.92881	0.054463614288215	0.09164	0.08819	-0.12128	0.09587	0.16259	0.08033	0.03599	0.03083	0.02602	0.25789	0.11637	21.49706	-15.1591
"stick"	9	0.244505477987696	0.0749903373653069	0.366170088265314	0.713104879202718	0.46256	0.41263	0.29912	0.2731	0.3859	0.37045	0.33363	0.3803	0.37783	0.77459	0.04694	46.91683	-8.09554	0.174676254577019	0.22069	0.18263	0.16235	0.10827	0.1782	0.18981	0.16393	0.16907	0.19711	0.22451	0.08707	29.61912	-30.32602	0.197787477678053	0.2515	0.21224	0.17796	0.12902	0.20422	0.20936	0.18205	0.19557	0.21818	0.5011	0.06984	35.79421	-22.25818
"stick"	9	0.138971379003488	0.116822524694726	0.204301692456191	0.678917889249767	0.22604	0.30139	0.35509	0.04911	0.02034	0.25165	0.11199	0.35504	0.16806	0.36841	0.11182	22.61436	-16.94161	0.112609038046179	0.1468	0.17309	0.21647	0.00748	-0.01078	0.16841	0.01713	0.18438	0.1105	0.20596	0.12538	19.40975	-19.338	0.118537880586074	0.14797	0.17935	0.22091	0.0149	-0.00847	0.16818	0.03352	0.19927	0.11121	0.28989	0.11857	20.97388	-18.56958
"stick"	9	0.413913475512527	0.0673871476319619	0.345806578967168	1.07680626813175	0.42099	0.35302	0.32397	0.39886	0.34134	0.2981	0.34839	0.33586	0.29173	0.8709	0.05047	44.88818	-9.11188	0.234476554207028	0.28426	0.22374	0.21956	0.25717	0.24579	0.20581	0.24717	0.22292	0.20385	0.18957	0.12645	19.17009	-39.77268	0.281294553817008	0.34432	0.27698	0.2617	0.31672	0.29088	0.24126	0.28754	0.27131	0.24093	0.61347	0.08733	29.53521	-22.54363
"stick"	9	0.137320966552943	0.057017964834813	0.275735770456279	0.588885521670239	0.21125	0.238	0.35656	0.26791	0.3114	0.31799	0.33674	0.20856	0.23321	0.65803	0.03876	52.28317	-13.65611	0.124785556597792	0.08917	0.10602	0.16108	0.11207	0.13637	0.1589	0.16556	0.09138	0.1025	0.44031	0.04958	45.38583	-23.88502	0.135078569188881	0.09811	0.11576	0.1741	0.12409	0.14871	0.16757	0.17535	0.10014	0.11188	0.54717	0.0446	48.35197	-21.17698
"stick"	9	0.409388662979472	0.0330335323815234	0.374470378123038	1.06762068716745	0.36243	0.33555	0.38295	0.39333	0.36089	0.38349	0.39509	0.38126	0.37525	0.93746	0.03059	58.90404	-2.92855	0.253625536962557	0.23413	0.20307	0.26583	0.23883	0.24087	0.28777	0.29919	0.24337	0.26956	-0.04591	0.12512	19.46742	-47.02434	0.303457599298292	0.28667	0.25402	0.31447	0.29906	0.29032	0.32968	0.34206	0.29893	0.31591	0.57022	0.0802	31.91847	-29.41483
"stick"	9	0.464187987928744	0.224965280969627	0.350525466566184	1.26130652536746	0.39082	0.20213	0.57262	0.4113	0.45588	0.10034	0.34016	0.35173	0.32975	0.33737	0.22409	3.15012	-13.53704	0.252151869893162	0.32587	0.10409	0.44624	0.34477	0.27977	-0.01043	0.30947	0.17762	0.29197	-0.37941	0.32331	-7.11458	-26.75322	0.307611697471256	0.38277	0.1405	0.54555	0.40723	0.34793	0.01846	0.35541	0.22886	0.3418	-0.04525	0.28144	-3.23101	-20.42608
"stick"	9	0.155883317464031	0.188348155643325	0.217776567479667	1.09234399749319	0.32734	0.27398	0.09369	0.3049	0.20307	0.32938	0.07911	0.23267	0.11585	0.1777	0.2143	4.40067	-13.91773	0.168413563120705	0.23153	0.13537	0.06971	0.23979	0.19929	0.24961	0.09589	0.20544	0.08908	0.3393	0.19209	7.46397	-12.33921	0.190892810230321	0.26252	0.1832	0.08273	0.27538	0.20798	0.28601	0.09119	0.22366	0.10536	0.32814	0.19371	7.22937	-12.22748
"stick"	9	0.44154177053133	0.123990642488934	0.356691150068134	1.22478461868849	0.36193	0.32492	0.32969	0.23577	0.42102	0.42041	0.35502	0.40391	0.35755	0.70992	0.08719	29.58105	-9.93454	0.290360703922045	0.27351	0.21149	0.27789	0.16617	0.32968	0.40081	0.3218	0.3099	0.32198	0.12722	0.15123	14.15972	-26.65904	0.345957395652437	0.33593	0.27505	0.32668	0.20908	0.4	0.45069	0.3665	0.37921	0.37048	0.50334	0.11408	22.05257	-20.59074
"stick"	9	0.305499217449687	0.00898416765267029	0.343562062991835	0.908987484098372	0.34538	0.3361	0.32888	0.34728	0.34583	0.34022	0.35211	0.34224	0.35403	0.99651	0.00583	105.31409	-7.18406	0.209670663063618	0.20007	0.18758	0.20559	0.19563	0.20759	0.22902	0.23811	0.20073	0.22272	0.27818	0.08389	30.65909	-82.98024	0.243230077074372	0.23709	0.22533	0.23601	0.23445	0.24249	0.25568	0.26559	0.23706	0.25538	0.71273	0.05293	43.55777	-61.07025
"stick"	9	0.164447292021941	0.127063404361252	0.213246511832999	0.797719933925967	0.1906	0.18681	0.31365	0.35083	0.28976	-0.13799	0.37275	0.29481	0.05799	0.36867	0.13195	17.97814	-11.32721	0.116643793392381	0.11376	0.11029	0.12602	0.21313	0.20076	-0.05366	0.22496	0.12409	-0.00955	0.14275	0.15376	13.69545	-16.98003	0.129779641401765	0.12566	0.12025	0.14873	0.23345	0.21028	-0.06913	0.24731	0.14672	0.00475	0.23938	0.14484	15.3698	-14.78167
"stick"	9	0.173606539494358	0.04686676786514	0.411547426882901	0.477115043037442	0.40839	0.44709	0.37946	0.38463	0.36423	0.41521	0.45214	0.45818	0.3946	0.67931	0.03676	53.76492	-4.68695	0.130385891180061	0.11847	0.13351	0.12811	0.10083	0.11076	0.15418	0.15981	0.13313	0.13469	-0.08121	0.06749	36.74971	-24.29707	0.143215912729108	0.1325	0.14949	0.13887	0.11507	0.1226	0.16405	0.17154	0.14897	0.14586	0.21325	0.05757	41.20076	-18.28821
"stick"	9	0.416380871541332	0.121844996523578	0.369700952117322	1.0739500594617	0.32448	0.27089	0.36043	0.33209	0.35014	0.52882	0.30401	0.44743	0.40902	0.69225	0.084	30.62561	-8.52293	0.255689776993954	0.18412	0.18078	0.22973	0.20933	0.22472	0.42616	0.25061	0.30373	0.29205	0.04101	0.14827	14.7134	-28.3633	0.303446272177319	0.23132	0.21978	0.27829	0.25829	0.27307	0.48129	0.28004	0.36592	0.34302	0.42764	0.11455	21.93887	-17.37768
"stick"	9	0.176196919521317	0.0110125779756345	0.163530081615091	1.07263380879232	0.16492	0.1741	0.16842	0.15663	0.15902	0.17051	0.15568	0.16008	0.16241	0.98572	0.00846	94.91047	-4.48627	0.142863897563918	0.14029	0.14724	0.15173	0.13069	0.13712	0.15706	0.14261	0.13503	0.14401	0.84895	0.0275	61.88967	-33.69549	0.157106100166916	0.15627	0.16457	0.16463	0.14687	0.15168	0.16848	0.15329	0.15092	0.15725	0.9466	0.01635	76.4458	-19.53957
"stick"	9	0.131580138835125	0.0807529172743671	0.303686556255477	0.587038236308378	0.25598	0.46625	0.21244	0.20294	0.29546	0.33781	0.27987	0.24563	0.43682	0.44409	0.09196	28.08971	-4.87484	0.135254600254931	0.10927	0.22216	0.09334	0.06932	0.12534	0.18131	0.12632	0.11691	0.17331	0.60204	0.0778	32.76916	-6.62857	0.145805671464015	0.11972	0.23574	0.10179	0.08011	0.13716	0.18642	0.1359	0.12407	0.19134	0.58423	0.07953	32.15642	-5.60367
"stick"	9	0.0968338364036754	0.111971279024146	0.114043845064431	0.752471609912531	0.23206	0.17301	0.024	0.08638	0.07993	0.02503	0.04908	0.14178	0.21513	0.29282	0.10423	24.58247	-10.81246	0.0621515079210029	0.13483	0.09156	0.01488	0.04743	0.04312	0.01942	0.02177	0.07022	0.11612	0.20045	0.11083	22.86372	-11.42608	0.0696825008079984	0.14763	0.104	0.0158	0.05374	0.04868	0.01926	0.02603	0.08172	0.13029	0.2517	0.10722	23.79129	-10.98115
"stick"	9	0.413225088454783	0.131845364754554	0.417169288504208	1.18513958041429	0.46518	0.42445	0.39702	0.39519	0.41175	0.43233	0.44056	0.36794	0.42009	0.41496	0.16936	10.98956	-5.27089	0.322047240495631	0.33029	0.23943	0.34204	0.29834	0.25431	0.34088	0.42305	0.28318	0.3869	0.5246	0.15267	13.89477	-14.57748	0.382102632376942	0.4074	0.31942	0.39366	0.36188	0.32089	0.39931	0.46374	0.33927	0.43335	0.58191	0.14317	15.69325	-9.38433
"stick"	9	0.17249425140908	0.207066468021367	0.197343174566112	0.734279106522473	-0.02391	0.11899	-0.22636	0.46313	0.33443	0.17648	0.48418	0.35672	0.09243	-0.33581	0.15056	14.28425	-20.82336	0.105350347883867	0.02363	0.07264	-0.04777	0.17062	0.16512	0.10772	0.26192	0.11716	0.07713	-0.88255	0.17874	9.48098	-27.72661	0.114514392392147	0.01784	0.07932	-0.0715	0.20139	0.18672	0.11451	0.28842	0.1352	0.07873	-0.69297	0.1695	10.96698	-24.83452
"stick"	9	0.104460735979956	0.0449642577441409	0.0922859668010892	1.16986858692322	0.10325	0.07864	0.08326	0.08459	0.10569	0.08664	0.09112	0.10311	0.09428	0.77875	0.02621	63.23129	-8.61868	0.0950730334130564	0.10347	0.07897	0.08437	0.08606	0.10946	0.09026	0.09866	0.10591	0.0985	0.74294	0.02826	61.13075	-13.54904	0.101354503941083	0.11183	0.08529	0.09061	0.09239	0.11645	0.09557	0.10264	0.11313	0.10427	0.76981	0.02674	62.67663	-10.69375
"stick"	9	0.329157687223051	0.00129142962396145	0.329820702469132	0.998791228623291	0.3289	0.33067	0.32959	0.32922	0.33061	0.32947	0.32892	0.33037	0.33064	0.99993	9e-04	157.49651	-6.78821	0.221834376889482	0.21002	0.20542	0.22859	0.20442	0.21838	0.24483	0.24439	0.21124	0.22921	0.31033	0.08815	29.27393	-130.7291	0.259417725818705	0.25114	0.24855	0.26396	0.24738	0.25736	0.27482	0.27434	0.25251	0.26471	0.74768	0.05332	43.35099	-108.76324
"stick"	9	0.0503269964829087	0.204121736926027	0.0652758005159405	0.864937403558608	0.16431	0.02448	0.00346	0.14545	-0.05427	0.32838	-0.15237	0.2126	-0.08457	0.08006	0.28555	-3.63646	-14.37241	-0.0192963045359423	0.05858	-0.01183	-0.02192	0.03702	-0.09035	0.03361	-0.19495	0.11277	-0.0966	0.11831	0.27955	-3.04201	-15.648	0.0105741153145639	0.06616	0.01065	-0.01178	0.07008	-0.05835	0.12738	-0.15991	0.13294	-0.08201	0.14697	0.27497	-2.57933	-14.0408
"stick"	9	0.27401570242364	0.201570176403038	0.0201518050034856	5.60178099261487	-0.00333	0.0573	0.02191	0.0151	-0.00445	0.02232	0.00841	0.03881	0.0253	-0.82899	0.25809	-0.80614	-24.67945	0.10473272256438	0.00679	0.25453	0.11229	0.07541	0.00365	0.10751	0.05915	0.18309	0.14016	-0.92128	0.26453	-1.49534	-29.2513	0.111995734409897	-0.01222	0.30715	0.12084	0.08357	-0.01759	0.12161	0.05076	0.21103	0.14282	-0.83327	0.2584	-0.83887	-25.18609
"stick"	9	0.148642102780286	0.0420768068288453	0.392643317163785	0.472778027962149	0.46467	0.3682	0.37467	0.33943	0.37666	0.48543	0.33063	0.41792	0.37618	0.68477	0.04459	48.35873	-14.12047	0.132704916698531	0.149	0.12583	0.13466	0.10333	0.11381	0.18146	0.10753	0.1415	0.13722	0.8478	0.03098	58.55193	-12.73759	0.143993125362668	0.16373	0.13683	0.14419	0.11479	0.12674	0.19236	0.11713	0.15389	0.14628	0.85059	0.0307	58.81074	-9.70719
"stick"	9	0.102740372251719	0.194371789984871	0.0368435208749587	2.65252089070932	0.00505	0.07759	0.1272	-0.00309	-0.03579	0.05666	0.01683	0.04259	0.04455	0.17244	0.20025	6.29891	-14.18733	0.0827848106844064	0.0095	0.19719	0.32618	-0.02289	-0.10081	0.09956	0.03564	0.10008	0.1006	0.16388	0.20128	6.15497	-12.72373	0.0926151050734337	0.01206	0.2026	0.33265	-0.01284	-0.09795	0.13677	0.04191	0.10746	0.11086	0.17181	0.20033	6.28835	-13.69437
"stick"	9	0.480524544464424	0.0430965019622818	0.439467901996304	1.07192588266506	0.39314	0.46189	0.39907	0.46278	0.45205	0.47432	0.46672	0.45111	0.39413	0.93952	0.03255	57.16936	-4.25838	0.276506996067978	0.21952	0.25447	0.2601	0.26801	0.28102	0.34768	0.34126	0.26274	0.25375	-0.57393	0.16605	11.54323	-54.9108	0.337494443552608	0.27885	0.32697	0.31232	0.34085	0.34612	0.40173	0.39436	0.3309	0.30536	0.33015	0.10832	23.50308	-35.38802
"stick"	9	0.0572534641018137	0.130008626554627	0.172821583809096	0.513360206476812	0.12765	0.27864	0.00389	0.22379	0.0133	0.07087	0.22436	0.36707	0.24582	0.02201	0.14363	15.60481	-13.12111	0.0670972307053314	0.01957	0.09316	0.00443	0.10152	-0.01633	0.02529	0.10074	0.15905	0.11644	0.10646	0.13729	16.86918	-13.3694	0.0721280668534709	0.02845	0.10306	0.00398	0.10361	-0.00935	0.02795	0.10513	0.16759	0.11872	0.09355	0.13827	16.66827	-13.1586
"stick"	9	0.263762347737793	0.133629102492705	0.030399555133579	8.04894899124888	0.01991	0.02037	0.0282	0.02974	0.01027	0.03568	0.05247	0.04453	0.03242	0.51626	0.12529	19.42916	-9.30916	0.215066128209678	0.12309	0.12899	0.19531	0.20137	0.07538	0.25551	0.40343	0.31753	0.235	0.49098	0.12852	18.71604	-11.79619	0.240490539028774	0.15484	0.15852	0.22252	0.23384	0.08171	0.28259	0.41981	0.35297	0.25763	0.51575	0.12536	19.41435	-9.62718
"stick"	9	0.0688722086022608	0.24624163628323	-0.0300034002799447	1.23682634576603	-0.00308	-0.07245	0.08994	0.03504	-0.02563	-0.09701	-0.04439	-0.04043	-0.11201	-0.23237	0.23914	1.32996	-19.98719	-0.0500754651486714	-0.03332	-0.10004	0.08401	-0.00624	-0.05316	-0.08926	-0.07676	-0.05176	-0.12415	-0.31016	0.24657	0.47309	-15.13724	-0.0418284255241652	-0.01736	-0.09077	0.09664	0.02189	-0.0412	-0.10272	-0.06413	-0.04835	-0.13046	-0.24736	0.24059	1.16073	-16.08157
"stick"	9	0.428536749561317	0.0895332683576271	0.343661029310923	1.18043878676614	0.3519	0.40571	0.37393	0.316	0.37573	0.34946	0.26246	0.31062	0.34716	0.82489	0.06263	38.84558	-6.92804	0.256784242795642	0.2598	0.29627	0.29959	0.21589	0.26499	0.29865	0.20479	0.2197	0.25136	0.12043	0.14036	16.24958	-34.24519	0.310527338610377	0.31829	0.36567	0.35354	0.27161	0.32725	0.34192	0.23921	0.27238	0.30489	0.57574	0.09748	26.4567	-18.99913
"stick"	9	0.20850012548035	0.121347728243563	0.289861982143394	0.703204767608255	0.28733	0.38628	0.2406	0.13747	0.02854	0.55785	0.19111	0.40741	0.37218	0.54676	0.09735	26.49405	-8.19904	0.145539669001817	0.11836	0.19166	0.10514	0.06586	0.02073	0.31168	0.08227	0.21419	0.19997	0.37061	0.11472	21.89731	-14.06455	0.160922405430684	0.13612	0.21449	0.12133	0.07351	0.02014	0.33507	0.09496	0.23568	0.217	0.45111	0.10713	23.81324	-11.97881
"mult"	9	0.169370574469212	0.234960730536841	0.183767219655072	1.24022509667539	0.1319	0.31374	0.37312	-0.01991	-0.13144	0.24359	0.13907	0.24924	0.35459	0.10496	0.27155	-2.22909	-19.95962	0.212115480930178	-0.04482	0.31726	0.38091	0.04338	-0.03191	0.34681	0.28135	0.25779	0.35825	-0.13263	0.30547	-5.52502	-19.50992	0.212360923081362	0.02272	0.33507	0.41547	0.02003	-0.06785	0.31065	0.22672	0.25656	0.39187	0.02804	0.28298	-3.38331	-21.55669
