"model"	"n.muts"	"coes"	"sigma"	"u.mean"	"d.hat.MLE"	"u.hats.mut.1"	"u.hats.mut.2"	"u.hats.mut.3"	"u.hats.mut.4"	"u.hats.mut.5"	"R2.stick"	"sig.stick"	"lnL.stick"	"P.stick"	"s.mean"	"s.hats.mut.1"	"s.hats.mut.2"	"s.hats.mut.3"	"s.hats.mut.4"	"s.hats.mut.5"	"R2.mult"	"sig.mult"	"lnL.mult"	"P.mult"	"w.mean"	"w.hats.mut.1"	"w.hats.mut.2"	"w.hats.mut.3"	"w.hats.mut.4"	"w.hats.mut.5"	"R2.add"	"sig.add"	"lnL.add"	"P.add"
"stick"	5	0.261948988470249	0.0104763154522516	0.264316248202182	0.98814756979195	0.2771	0.26801	0.25792	0.25073	0.26783	0.99944	0.00565	46.09567	0	0.18421070019463	0.19252	0.18956	0.18141	0.17546	0.1821	-0.20998	0.26169	0.05969	0	0.199223505451406	0.20862	0.20462	0.19576	0.18932	0.19781	0.80118	0.10608	10.89548	0
"stick"	5	0.317499059531838	0.0287402829853818	0.280385067174438	1.25352352451298	0.32655	0.28013	0.26724	0.25773	0.27028	0.85587	0.09966	11.64509	0	0.239134581392102	0.27987	0.22724	0.23479	0.23819	0.21558	-2.78558	0.51073	-7.96433	0	0.266610905623376	0.31349	0.25631	0.2593	0.26012	0.24383	0.18758	0.2366	1.26931	0
"stick"	5	0.0502407248015516	0.171758966811467	0.196446493984134	0.332449800445132	0.23056	-0.23557	0.13609	0.24369	0.60746	-0.26074	0.14662	7.01176	0	0.06527733358854	0.07222	-0.02405	0.03896	0.09342	0.14585	-1.04013	0.18651	4.12386	0	0.0662597473291034	0.07312	-0.02943	0.03986	0.09484	0.15291	-0.76931	0.17369	4.97842	0
"stick"	5	0.0889317800058052	0.206369330931921	-0.033731716512087	0.830180471756487	-0.41655	0.19237	-0.03446	-0.17544	0.26542	-1.57572	0.4383	-6.12892	0	0.0235384742605873	-0.12026	0.15194	-0.01947	-0.12123	0.22672	-0.62865	0.34852	-3.37866	0	0.0174846787566598	-0.15706	0.15607	-0.022	-0.12643	0.23685	-0.62631	0.34827	-3.37004	0
"stick"	5	0.155122679029591	0.174752561550122	-0.0232749897592152	1.02561680096689	0.36062	-0.07776	-0.27205	-0.3384	0.21122	-1.71994	0.5078	-7.89532	0	0.081232575301384	0.31136	0.03546	0.02036	-0.13019	0.16917	0.3026	0.25713	0.27075	0	0.0707160788525586	0.3344	0.0154	-0.01699	-0.16416	0.18494	0.14112	0.28535	-0.97891	0
"stick"	5	0.232473671832122	0.0573938017478213	0.183245349845317	1.3830620819551	0.18428	0.13668	0.23103	0.19914	0.16509	0.86412	0.09087	12.75227	0	0.184250563131826	0.1909	0.14322	0.23115	0.18459	0.1714	-0.23626	0.27411	-0.49636	0	0.206685310686128	0.21167	0.15724	0.2612	0.21387	0.18944	0.66712	0.14224	7.37601	0
"stick"	5	0.440332752978429	0.0450743730762042	0.335930800634444	1.29960673674306	0.38788	0.36026	0.36464	0.27456	0.29231	0.7334	0.12553	8.8748	0	0.316884591237394	0.34964	0.32761	0.33153	0.26746	0.30819	-16.01068	1.00275	-16.06026	0	0.350293994922654	0.39183	0.36511	0.36971	0.29136	0.33346	-2.21475	0.43592	-6.06371	0
"stick"	5	0.377547942881938	0.187086564139463	0.223253478226071	1.29177167127945	0.34831	0.13538	0.23432	0.26043	0.13784	0.83684	0.15676	6.20946	0	0.20041654768587	0.3069	0.20984	0.25181	0.14219	0.09134	0.74283	0.1968	3.47936	0	0.220260265455444	0.34004	0.21606	0.26883	0.17373	0.10265	0.88092	0.13392	8.09887	0
"stick"	5	0.306403838749975	0.216476475063246	0.251668617555204	1.78333266105964	0.33739	0.23272	0.24822	0.22798	0.21203	-0.81132	0.40577	-5.20375	0	0.291427957566696	0.42968	0.22872	0.26729	0.2958	0.23565	-7.64852	0.88666	-14.58374	0	0.348433675614213	0.49999	0.29422	0.32961	0.33542	0.28293	-2.14949	0.53507	-8.52286	0
"stick"	5	0.122472610324621	0.0353997513302602	0.163150921676148	0.931950379504492	0.15724	0.16958	0.17288	0.19515	0.12089	0.76348	0.06665	16.47276	0	0.120983724296521	0.11861	0.12314	0.12667	0.14728	0.08921	-0.44084	0.1645	5.6311	0	0.130264767881213	0.12694	0.13353	0.13699	0.15807	0.09581	0.35607	0.10997	10.46341	0
"stick"	5	0.227968027663883	0.115502367611043	0.234701089215038	1.2285138449265	0.05954	0.3779	0.15226	0.2382	0.3456	0.41256	0.20301	3.10659	0	0.201927924606965	0.02719	0.34874	0.12806	0.20718	0.29848	-1.29858	0.40158	-5.07903	0	0.227660190064134	0.03658	0.38851	0.14231	0.23092	0.33998	0.00523	0.26418	-0.05382	0
"stick"	5	0.319641404936556	0.0472420452279039	0.356843133790056	1.00766979673693	0.31215	0.37072	0.36626	0.33984	0.39523	0.92665	0.06336	17.07987	0	0.246774043776571	0.23695	0.2599	0.21762	0.21424	0.30516	-5.25645	0.58514	-9.59649	0	0.268429103202485	0.25376	0.28215	0.24171	0.2347	0.32983	-0.33087	0.26988	-0.3098	0
"stick"	5	0.46591106938431	0.000532662787009031	0.466341745424593	0.999012880880691	0.46618	0.46769	0.46704	0.4676	0.4632	0.99998	0.00119	64.74665	0	0.298720358884923	0.29863	0.29883	0.29884	0.29912	0.29819	-11.93057	0.86317	-14.2615	0	0.323019478261219	0.32291	0.32319	0.32317	0.32351	0.32232	-1.1399	0.35114	-3.46848	0
"stick"	5	0.234290399786551	0.0391382500529289	0.0933438787118128	1.83808951889942	0.09683	0.10984	0.07246	0.07651	0.11107	0.93559	0.05356	19.09724	0	0.156132403783406	0.16198	0.17295	0.13269	0.1334	0.17964	0.2631	0.18115	4.474	0	0.164470500628665	0.17059	0.18729	0.13444	0.13782	0.19221	0.86799	0.07667	14.79166	0
"stick"	5	0.48897319388343	0.071634398016613	0.396486378851018	1.10719940658241	0.30727	0.48527	0.2898	0.43935	0.46073	0.69362	0.12042	9.37359	0	0.334051600445518	0.31159	0.3749	0.32836	0.34083	0.31458	-27.36837	1.15877	-17.79554	0	0.365053667685793	0.33333	0.41413	0.3509	0.37433	0.35258	-4.2992	0.50082	-7.72922	0
"stick"	5	0.231008095538709	0.19000912719639	0.409579582253395	1.16509381481202	0.54979	0.38028	0.44905	0.36337	0.30541	-0.77192	0.31217	-2.05692	0	0.310489175002487	0.46821	0.23903	0.36983	0.20913	0.26625	-21.12953	1.10322	-17.20602	0	0.352983109621746	0.52275	0.28504	0.41156	0.25665	0.28891	-5.97212	0.61924	-10.27606	0
"stick"	5	0.421124220930506	0.0636526268208399	0.377721671011572	1.08153561483633	0.41591	0.21452	0.40595	0.36018	0.49204	0.97392	0.04158	22.13299	0	0.278434673976357	0.29119	0.19344	0.29757	0.26009	0.34989	-6.93646	0.72539	-12.17478	0	0.303533777815906	0.31955	0.20354	0.32484	0.28253	0.38721	-0.40194	0.30488	-1.7731	0
"stick"	5	0.107274958502967	0.152990046248306	0.00405620915045457	5.94312523434155	-0.01088	-0.00612	0.01914	0.00541	0.01272	-0.31318	0.22672	1.78135	0	0.0241013390735739	-0.04728	-0.05076	0.11596	0.03224	0.07035	-0.36593	0.23123	1.54502	0	0.0242701786652209	-0.06102	-0.03894	0.11445	0.0322	0.07466	-0.31476	0.22685	1.77413	0
"stick"	5	0.169777449965477	0.0820925470325164	0.272279133268855	0.784634496791951	0.19377	0.30237	0.3144	0.29986	0.25099	0.8926	0.06046	17.64151	0	0.154713808449934	0.09476	0.16714	0.22281	0.17028	0.11859	-0.68832	0.23973	1.1117	0	0.166264476915654	0.10321	0.18022	0.23395	0.18271	0.13123	0.4184	0.1407	7.50591	0
"stick"	5	0.312445598375052	0.143662628892343	0.0129528458272273	1.03874134490857	-0.16618	0.20384	0.00019	0.02091	0.00601	-1.6804	0.56541	-9.18471	0	0.0859454679813378	-0.08833	0.22632	0.1001	0.05174	0.1399	0.05368	0.33595	-2.93786	0	0.0805916325819795	-0.09881	0.23355	0.09029	0.04784	0.13009	-0.12827	0.36683	-3.99303	0
"stick"	5	0.417996458965354	0.171148698835168	0.194624671523416	1.77119857349016	0.21437	0.40274	-0.09425	0.2181	0.23217	0.70285	0.18489	4.22876	0	0.323147648465397	0.31547	0.56465	0.08997	0.33652	0.30912	-6.911	0.95397	-15.46181	0	0.347820489549694	0.34449	0.63591	0.04628	0.36367	0.34874	-0.30041	0.38678	-4.62834	0
"stick"	5	0.17284797023749	0.139869244536385	0.193123609130974	1.10761003239677	0.17214	0.1315	0.25406	0.21451	0.19341	0.64938	0.11302	10.13494	0	0.151810527062618	0.1313	0.09192	0.21934	0.16824	0.14825	-0.38697	0.22479	1.8838	0	0.169962855392989	0.14794	0.10609	0.23945	0.18898	0.16736	0.38403	0.1498	6.75389	0
"stick"	5	0.184937968070153	0.223257343051955	0.117962465756499	1.20914508086113	0.17419	0.1231	0.41481	0.10799	-0.23028	0.85425	0.14265	7.34105	0	0.0627318455492063	0.12818	2e-05	0.40934	0.10446	-0.32834	0.06245	0.3618	-3.82736	0	0.092144847473251	0.15189	0.04849	0.447	0.11177	-0.29842	0.67631	0.21259	2.55348	0
"stick"	5	0.378176684735809	0.147125303687062	0.259658441990337	1.10506393156523	0.15082	0.42147	0.11557	0.32463	0.2858	0.86763	0.08617	13.39061	0	0.248143713698682	0.14437	0.36903	0.16476	0.28048	0.28208	-5.16507	0.58805	-9.65587	0	0.264721678692417	0.151	0.40297	0.16576	0.30395	0.29993	-0.25649	0.26547	-0.11241	0
"stick"	5	0.428880497487262	0.0227560776402242	0.432103938306063	0.935363361922048	0.44528	0.48004	0.2142	0.56405	0.45695	0.89414	0.08031	14.23453	0	0.27018539681495	0.24827	0.2853	0.25252	0.28169	0.28314	-6.54879	0.67821	-11.36765	0	0.289543997614736	0.26521	0.30645	0.26716	0.3053	0.30361	-0.21172	0.27172	-0.39159	0
"stick"	5	0.426553866511676	0.139217797899619	0.344832418462952	1.42901966921265	0.25056	0.38866	0.3077	0.37535	0.40189	0.03987	0.25836	0.21345	0	0.338919426036603	0.25716	0.34468	0.30242	0.37017	0.42017	-19.52263	1.19448	-18.15982	0	0.38398870494715	0.28362	0.40633	0.33945	0.41935	0.47119	-3.59429	0.56516	-9.17953	0
"stick"	5	0.23573548651766	0.133395761600696	0.135432567532976	0.955846549393241	0.19875	0.1943	-0.05149	0.14245	0.19315	0.52707	0.21636	2.34243	0	0.0906125391904068	0.13761	0.1393	0.02676	-0.03347	0.18286	0.39789	0.24413	0.89341	0	0.100937872032145	0.14755	0.14846	0.01946	-3e-05	0.18925	0.4488	0.23358	1.42345	0
"stick"	5	0.381561691709794	0.174846640962642	0.35665626646204	1.1188713759522	0.48879	0.37343	0.60545	0.45317	-0.13755	0.54511	0.18605	4.15341	0	0.30618089094396	0.37322	0.23295	0.4753	0.36332	0.08611	-10.73006	0.94479	-15.34575	0	0.337175881705286	0.41428	0.26314	0.53194	0.39961	0.07691	-1.77282	0.45935	-6.69201	0
"stick"	5	0.111677438835613	0.208522908680607	0.168611010702298	1.07874896550005	0.05131	0.41143	0.06183	0.24104	0.07744	0.16276	0.21341	2.50728	0	0.109801158291058	-0.0397	0.38676	-0.00258	0.18944	0.01509	0.59958	0.14759	6.93282	0	0.133675969516049	-0.00945	0.41116	0.01772	0.2138	0.03515	0.41864	0.17783	4.69575	0
"stick"	5	0.373048402625136	0.0712026802939363	0.332256164163235	1.23963581035869	0.33819	0.39183	0.33676	0.30638	0.28813	0.62389	0.15601	6.26663	0	0.264478103075359	0.27805	0.31704	0.25953	0.24449	0.22329	-5.99756	0.67293	-11.27397	0	0.29787749762618	0.31091	0.35903	0.2947	0.2738	0.25094	-0.67875	0.3296	-2.70889	0
"stick"	5	0.144021079619415	0.159727564430796	0.513020895120967	1.10445204410707	0.50936	0.37105	0.52913	0.69852	0.45705	-1.80917	0.4747	-7.0863	0	0.278915489067917	0.27831	0.0516	0.32204	0.56435	0.17829	-9.8606	0.93337	-15.19982	0	0.338987095202435	0.33594	0.11271	0.37595	0.62901	0.24132	-4.79503	0.6818	-11.43097	0
"stick"	5	0.448960298299789	0.229646142979618	0.146900762941319	2.0726093612848	0.20462	0.18546	0.16311	-0.02255	0.20386	0.3937	0.22417	1.91692	0	0.307099625855184	0.38471	0.35652	0.29052	0.15407	0.34967	-8.89343	0.90554	-14.83658	0	0.320100688362034	0.41327	0.37933	0.316	0.10406	0.38785	-0.5808	0.36197	-3.83295	0
"stick"	5	0.249884645757265	0.185171421151608	0.0894535071114517	1.03860613944607	-0.20514	0.06239	0.26486	0.24073	0.08442	-0.68255	0.26964	-0.29917	0	0.155497084516192	0.06469	0.11715	0.24816	0.22745	0.12003	-0.0071	0.20861	2.78021	0	0.151311643095629	0.03165	0.10935	0.26136	0.2386	0.11559	0.58607	0.13374	8.11495	0
"stick"	5	0.460380179632921	0.181332113279495	0.311190505668078	1.24318251940516	0.17872	0.41827	0.27682	0.36592	0.31622	0.25272	0.24528	0.83715	0	0.305519789507142	0.33722	0.33064	0.22881	0.30641	0.32453	-11.3264	0.99617	-15.98119	0	0.337652114288812	0.35294	0.38454	0.25484	0.34492	0.35102	-2.05421	0.49587	-7.60986	0
"stick"	5	0.205290917609818	0.235214769665617	0.120766401990133	1.31217345704518	-0.00236	0.04204	0.28525	0.2498	0.0291	0.7953	0.15491	6.35134	0	0.107377662018928	-0.15215	0.06284	0.28103	0.25962	0.08555	0.46575	0.25027	0.59551	0	0.127240517402378	-0.10173	0.0617	0.31486	0.28425	0.07712	0.71415	0.18306	4.34799	0
"stick"	5	0.203920926235151	0.162469801318366	0.0139831330225655	0.896984309592665	0.32203	-0.15064	0.06168	-0.10145	-0.0617	-0.89857	0.42525	-5.76622	0	0.0561611802897998	0.20835	-0.02469	0.12462	-0.09228	0.0648	-0.07504	0.31999	-2.35379	0	0.0548257389937846	0.22903	-0.03755	0.12005	-0.09059	0.05318	-0.08031	0.32078	-2.38312	0
"stick"	5	0.351972587488126	0.181584582256619	0.238928242365116	1.27423245266358	-0.01381	0.14891	0.32282	0.26898	0.46774	0.22612	0.22828	1.69875	0	0.313416491329783	0.15759	0.26851	0.30722	0.35054	0.48323	-15.45207	1.05256	-16.642	0	0.331258048837814	0.14049	0.27165	0.34263	0.371	0.53051	-2.58965	0.49166	-7.50762	0
"stick"	5	0.435512307996396	0.0097906431183219	0.421278014223724	1.03017574394395	0.41209	0.42612	0.42369	0.4064	0.43809	0.99705	0.01347	35.66352	0	0.283301671639287	0.27789	0.28281	0.2862	0.27461	0.295	-8.376	0.75943	-12.72497	0	0.307238132749243	0.30097	0.30705	0.31042	0.29717	0.32059	-0.57743	0.3115	-2.03083	0
"stick"	5	0.259071148349904	0.0257371895713732	0.248841886631758	1.08981362213745	0.25734	0.23822	0.26328	0.23801	0.24736	0.94861	0.05217	19.4127	0	0.192936190186272	0.1988	0.18268	0.19452	0.19977	0.18892	-0.93107	0.31976	-2.34513	0	0.211424521230006	0.21816	0.20031	0.21596	0.2151	0.20759	0.56821	0.15121	6.64214	0
"stick"	5	0.27327047024155	0.244083465717267	0.179035515629256	1.24015022623585	0.06973	-0.14846	0.41354	0.37445	0.18592	0.62815	0.18849	3.99738	0	0.208575884456527	0.00239	0.01014	0.43739	0.38815	0.20482	-1.00968	0.43819	-6.12605	0	0.222827591300313	0.02652	-0.02117	0.47031	0.42243	0.21605	0.18685	0.27873	-0.69718	0
"mult"	5	0.303378483839333	0.0108829714590684	0.371238052444751	3.12973840168196	0.37063	0.36973	0.37235	0.37202	0.37146	0.26306	0.80828	-13.47304	0	0.297700769601401	0.29554	0.29948	0.30398	0.29515	0.29435	0.99742	0.04786	20.44685	0	0.485557816265149	0.48322	0.48479	0.49145	0.48483	0.48351	0.96665	0.17196	5.09899	0
"mult"	5	0.389180504949763	0.0301243143621832	0.392356698800256	4.66004418320443	0.39465	0.39351	0.3878	0.39557	0.39026	0.04223	1.38008	-19.89297	0	0.378499114720939	0.39023	0.37826	0.37995	0.38322	0.36083	0.99509	0.09877	11.7517	0	0.725515435304144	0.7387	0.72809	0.71561	0.73636	0.70882	0.94756	0.32292	-2.46301	0
"mult"	5	0.439682644396089	0.192615308507811	0.417180755158138	5.94721736765082	0.4107	0.40677	0.43009	0.41075	0.42759	-0.39318	2.06205	-24.71164	0	0.449568472864	0.43055	0.34376	0.60925	0.33764	0.52664	0.97402	0.2816	-0.81985	0	0.989928008245269	0.95341	0.88793	1.1344	0.8999	1.074	0.84489	0.68804	-11.54033	0
"mult"	5	0.160396326705813	0.0744000250706449	0.302118706606096	1.25931791606102	0.24185	0.27725	0.32183	0.33004	0.33963	0.76117	0.17624	4.80372	0	0.166486321748245	0.13131	0.11519	0.18756	0.17812	0.22025	0.97059	0.06184	17.37119	0	0.202454589967189	0.15645	0.15292	0.22512	0.22029	0.25749	0.98751	0.0403	22.51035	0
"mult"	5	0.136336162604857	0.226832169690169	0.0926547082124148	1.48172091358978	0.07186	-0.186	0.31063	0.24567	0.02111	0.8201	0.16362	5.69545	0	0.10576246305867	0.14089	-0.18965	0.37128	0.28931	-0.08303	0.49526	0.27406	-0.49449	0	0.123443699949955	0.13549	-0.20601	0.41029	0.31974	-0.0423	0.74188	0.19599	3.52916	0
"mult"	5	0.224450580752455	0.232979951950256	0.391225109972524	2.28152884080699	0.37855	0.38304	0.45228	0.39181	0.35045	-0.4508	0.77028	-12.89521	0	0.244238734693177	0.21756	0.28657	0.40431	0.22417	0.08859	0.89115	0.21099	2.6441	0	0.396582352112864	0.36347	0.41425	0.57001	0.38332	0.25186	0.70032	0.35009	-3.43236	0
"mult"	5	0.0785274213529192	0.247178724035621	0.0565364544961836	1.93147042706898	-0.07184	0.11678	0.12674	0.08133	0.02968	0.74315	0.13182	8.28886	0	0.0800964821021388	-0.14013	0.21094	0.20579	0.12032	0.00357	0.63156	0.15788	6.12414	0	0.0962743780823212	-0.13795	0.22037	0.22732	0.13958	0.03205	0.72782	0.13569	7.94113	0
"mult"	5	0.256681128183845	0.234623037220445	0.117046182999808	4.01885218487935	0.09443	0.13193	0.14194	0.10475	0.11218	0.89281	0.27351	-0.47008	0	0.211838741908488	0.18792	0.23664	0.39466	0.13526	0.10472	0.66119	0.48627	-7.37538	0	0.328231251346753	0.26879	0.36948	0.47939	0.26074	0.26276	0.80971	0.36443	-3.91415	0
"mult"	5	0.202717338688672	0.2154972741846	0.376700151831702	2.04008233113442	0.49751	0.41474	0.28163	0.38082	0.3088	-0.38283	0.71237	-11.95735	0	0.22149300053564	0.49444	0.21582	-0.01452	0.19475	0.21698	0.85561	0.23019	1.59879	0	0.349820628564715	0.64526	0.38237	0.10343	0.32873	0.28931	0.66864	0.34872	-3.38532	0
"mult"	5	0.179204247996677	0.0459160827449523	0.152490476419323	1.85793222718768	0.15062	0.1563	0.16586	0.12239	0.16729	0.91966	0.13128	8.33807	0	0.13514278350793	0.13088	0.13409	0.17024	0.1072	0.13329	0.72255	0.24395	0.90218	0	0.177859069615442	0.17347	0.17932	0.21043	0.13981	0.18626	0.78912	0.21268	2.54833	0
"mult"	5	0.370746500359383	0.0159521304885857	0.3923923236878	4.35837185208758	0.38928	0.38928	0.39409	0.3961	0.39321	0.03313	1.28528	-19.03899	0	0.371475688302246	0.35252	0.36183	0.38178	0.38387	0.37737	0.99978	0.01957	31.17818	0	0.690114198627165	0.6707	0.67682	0.70068	0.70657	0.6958	0.94507	0.30636	-1.83133	0
"mult"	5	0.470215853606351	0.100976736401208	0.407777482107871	6.53367348485329	0.39436	0.40917	0.40381	0.4154	0.41615	-0.14515	2.11154	-24.99625	0	0.470434999876836	0.40884	0.37796	0.4237	0.54697	0.59471	0.98622	0.23166	1.52237	0	1.0355076165525	0.94505	0.98437	0.98993	1.11206	1.14613	0.92083	0.55521	-8.96638	0
"mult"	5	0.196800255787093	0.178101012541447	0.325282225911107	1.65771411627315	0.3219	0.47403	0.30215	0.29269	0.23564	0.45204	0.3736	-4.21231	0	0.226428430313542	0.17563	0.40406	0.08598	0.12305	0.34342	0.65457	0.29663	-1.44385	0	0.293950973696506	0.24156	0.5048	0.16558	0.18685	0.37097	0.79707	0.22735	1.74783	0
"mult"	5	0.238464540208224	0.0869696733425371	0.0490961688242991	7.4172940219751	0.05045	0.04865	0.04948	0.04129	0.0556	0.94583	0.16087	5.89857	0	0.213643686074983	0.25014	0.18371	0.22438	0.16356	0.24644	0.90783	0.20984	2.70966	0	0.319031385831142	0.33692	0.30824	0.32401	0.26245	0.36354	0.93677	0.1738	4.97095	0
"mult"	5	0.244167773413938	0.00733456766465679	0.355304603946344	2.28948206235167	0.3526	0.3543	0.35418	0.35721	0.35823	0.37033	0.53737	-8.57439	0	0.242992307810399	0.24074	0.2395	0.24034	0.24511	0.24927	0.99976	0.01047	38.68384	0	0.358539869671872	0.35457	0.35513	0.35564	0.36173	0.36563	0.97457	0.10799	10.68121	0
"mult"	5	0.453977212682366	0.149012861831579	0.406968990471473	5.98284709520274	0.40944	0.41733	0.38161	0.41114	0.41532	-0.08025	1.84954	-23.40651	0	0.496168021888404	0.46092	0.51555	0.39667	0.51393	0.59377	0.90768	0.54068	-8.64809	0	0.986990124727645	0.97167	1.03386	0.83955	1.01138	1.07848	0.92196	0.49712	-7.64018	0
"mult"	5	0.233258247200865	0.01542962907115	0.347895243513008	2.13312120906203	0.34322	0.34892	0.34724	0.35226	0.34784	0.44217	0.47194	-7.01637	0	0.231129381845975	0.22038	0.23876	0.2309	0.23162	0.234	0.99906	0.01937	31.30191	0	0.331753523116783	0.32024	0.33818	0.33107	0.33546	0.33382	0.97827	0.09314	12.45593	0
"mult"	5	0.440414465637878	0.105586528487038	0.405998121758885	5.87478786205672	0.42024	0.39713	0.40345	0.39973	0.40944	-0.19801	1.94343	-24.0007	0	0.407998500104379	0.49394	0.36272	0.41759	0.33967	0.42607	0.96134	0.3491	-3.39855	0	0.915101642057211	1.01788	0.85641	0.91179	0.8516	0.93783	0.91526	0.51686	-8.10752	0
"mult"	5	0.0909733262145892	0.168774310324807	0.00530363381719774	2.42760530947219	-0.08461	0.08534	-0.02093	-0.02409	0.0708	-0.32462	0.35562	-3.62056	0	0.0150736072673594	-0.19732	0.1779	-0.05156	-0.00358	0.14994	-0.58452	0.38895	-4.69548	0	0.0154713945106054	-0.19933	0.19586	-0.05099	-0.03139	0.16321	-0.36096	0.36046	-3.78293	0
"mult"	5	0.261093719082419	0.032490604382474	0.35817765020867	2.54224396727908	0.37451	0.35395	0.35224	0.36039	0.3498	0.34343	0.61972	-10.28549	0	0.250002917245233	0.28399	0.22383	0.23321	0.26241	0.24657	0.98413	0.09635	12.05026	0	0.386720696549392	0.42761	0.36375	0.36864	0.39771	0.3759	0.96751	0.13786	7.75065	0
"mult"	5	0.0970300891320221	0.191554220044054	-0.0581341662043987	0.671435795827526	-0.31319	-0.12026	-0.02222	-0.37694	0.54194	-2.45171	0.42398	-5.73054	0	0.0344234709137095	-0.13259	0.04221	0.09002	-0.10306	0.27554	-0.45116	0.27491	-0.53149	0	0.0263446481019414	-0.1462	0.02685	0.07999	-0.126	0.29709	-0.47716	0.27736	-0.63804	0
