"model"	"n.muts"	"coes"	"sigma"	"u.mean"	"d.hat.MLE"	"u.hats.mut.1"	"u.hats.mut.2"	"u.hats.mut.3"	"u.hats.mut.4"	"u.hats.mut.5"	"R2.stick"	"sig.stick"	"lnL.stick"	"P.stick"	"s.mean"	"s.hats.mut.1"	"s.hats.mut.2"	"s.hats.mut.3"	"s.hats.mut.4"	"s.hats.mut.5"	"R2.mult"	"sig.mult"	"lnL.mult"	"P.mult"	"w.mean"	"w.hats.mut.1"	"w.hats.mut.2"	"w.hats.mut.3"	"w.hats.mut.4"	"w.hats.mut.5"	"R2.add"	"sig.add"	"lnL.add"	"P.add"
"stick"	5	0.381047725770623	0.233036010933574	0.320649262398162	1.0862632499498	0.33915	0.32443	0.36508	0.25067	0.32392	0.67748	0.15025	6.71829	0	0.256490716784125	0.17995	0.26607	0.37914	0.19492	0.26238	-5.27205	0.66258	-11.08794	0	0.281927494870247	0.21781	0.28794	0.40911	0.21044	0.28433	-0.64212	0.33903	-3.04726	0
"stick"	5	0.253587781998795	0.240714655607007	-0.113092791212134	1.22838559045658	0.37845	-0.0329	-0.23199	0.24554	-0.92456	-2.90868	0.727	-12.20133	0	0.0451773020244791	0.34808	0.02306	-0.10803	0.27201	-0.30924	-0.09307	0.38445	-4.55607	0	0.016782166642836	0.39152	0.0021	-0.15951	0.28632	-0.43652	-0.2415	0.40973	-5.32005	0
"stick"	5	0.43490929187974	0.182865497947205	0.0648879520570703	1.48067697916721	0.2189	0.13062	0.01564	-0.29252	0.2518	-1.64601	0.50784	-7.89626	0	0.222785911950405	0.30272	0.25078	0.1186	0.08273	0.3591	-0.552	0.38894	-4.69519	0	0.212631099338287	0.31948	0.24827	0.09875	0.01618	0.38047	0.42135	0.23749	1.22439	0
"stick"	5	0.0557495906832628	0.0538353658630513	0.00602325015577618	7.69592642274006	0.00815	0.00729	0.00786	0.00535	0.00147	0.3809	0.07148	15.63277	0	0.0467021499841599	0.0624	0.05428	0.06545	0.03876	0.01263	0.35133	0.07317	15.35279	0	0.0464389855612471	0.06267	0.05585	0.06127	0.04088	0.01153	0.38046	0.07151	15.62845	0
"stick"	5	0.492553178174421	0.240351070009638	0.175722108451737	2.61918252029881	0.18507	0.22458	0.09934	0.17197	0.19765	-0.72263	0.42098	-5.64515	0	0.341703116247965	0.39595	0.45292	0.11448	0.35023	0.39493	-12.34598	1.17176	-17.92934	0	0.402799717132419	0.44489	0.52591	0.18242	0.40173	0.45905	-2.45754	0.59641	-9.82539	0
"stick"	5	0.180856531811878	0.156599521404132	0.310068487397746	0.831738440026948	0.35739	0.42712	0.23778	0.32956	0.19849	0.66671	0.11524	9.90137	0	0.174604247854503	0.25979	0.2527	0.09569	0.16438	0.10046	-1.78787	0.3333	-2.84266	0	0.19134213806836	0.27532	0.27569	0.11144	0.18441	0.10984	-0.13713	0.21286	2.53798	0
"stick"	5	0.134010507178027	0.0946534984395839	0.155592989592678	1.04532960684421	0.08942	0.22052	0.09783	0.17732	0.19289	0.39285	0.12183	9.23446	0	0.130033510910358	0.07101	0.18261	0.08133	0.1384	0.17682	-0.90437	0.21576	2.37566	0	0.141237038459881	0.07776	0.19988	0.08775	0.15437	0.18642	-0.05079	0.16027	5.94334	0
"stick"	5	0.316065448150039	0.215808087144978	0.363052111256917	1.20025888524521	0.54742	0.36633	0.33046	0.0253	0.54575	-0.05955	0.27648	-0.59992	0	0.313941581175184	0.5104	0.33456	0.25681	-0.03176	0.49969	-14.83428	1.06882	-16.82593	0	0.351890207958437	0.56515	0.36735	0.29222	-0.02161	0.55634	-4.05571	0.60394	-9.97597	0
"stick"	5	0.153678865195252	0.220026425027754	0.0133098310816284	1.25684711063925	-0.06897	0.10229	-0.13984	0.09513	0.07794	-1.0591	0.41649	-5.51665	0	0.0852378752757729	-0.06792	0.13944	0.1506	0.11782	0.08625	-0.07597	0.30107	-1.62237	0	0.0778668441243854	-0.07518	0.13758	0.11591	0.11939	0.09164	-0.0855	0.3024	-1.6753	0
"stick"	5	0.292787012818735	0.0594174165162258	0.30866775829235	0.965420919453273	0.22222	0.29793	0.29923	0.34459	0.37937	0.99528	0.01654	33.19921	0	0.208280024836162	0.17034	0.19587	0.20004	0.22708	0.24807	-1.33195	0.36757	-4.01725	0	0.224516659978975	0.17949	0.21122	0.21535	0.24619	0.27034	0.58746	0.1546	6.37546	0
