"model"	"n.muts"	"coes"	"sigma"	"u.mean"	"d.hat.max"	"u.hats.A"	"u.hats.B"	"u.hats.C"	"u.hats.D"	"R2.stick"	"sig.stick"	"lnL.stick"	"P.stick"	"s.mean"	"s.hats.A"	"s.hats.B"	"s.hats.C"	"s.hats.D"	"R2.mult"	"sig.mult"	"lnL.mult"	"P.mult"	"w.mean"	"w.hats.A"	"w.hats.B"	"w.hats.C"	"w.hats.D"	"R2.add"	"sig.add"	"lnL.add"	"P.add"
"stick"	4	-0.460183905344456	0.175520889519248	-0.303236123912963	2.04355837644946	-0.31671	-0.39422	-0.26379	-0.23824	0.83839	0.40417	-4.13023	-5.48088	-0.0530396058022549	-0.06109	-0.07314	-0.03902	-0.03891	0.06235	0.97353	-12.92114	-8.77001	-1.00389468400533	-1.14411	-1.38089	-0.75076	-0.73982	0.19746	0.90067	-12.14317	-8.87135
"stick"	4	-0.855810640822165	0.0277991374023259	-0.624107155352609	2.04355837644946	-0.6998	-0.69371	-0.55811	-0.54481	0.85789	1.17632	-14.8133	-5.5849	-0.208647233408304	-0.27037	-0.26907	-0.14856	-0.1466	-1.21812	4.64742	-28.55251	-11.64262	-3.27066045009185	-4.21512	-4.18837	-2.35876	-2.3204	-0.67777	4.0419	-27.15654	-16.58483
"stick"	4	-0.820261291612405	0.0557861408451572	-0.593395299422828	2.04355837644946	-0.65057	-0.67616	-0.52356	-0.52328	0.85503	1.08923	-14.04407	-8.6993	-0.18664338779933	-0.23821	-0.24362	-0.13248	-0.13227	-1.13165	4.17668	-27.48454	-9.66683	-2.9983052614214	-3.78697	-3.89639	-2.15668	-2.15318	-0.63011	3.65242	-26.14329	-12.25299
"stick"	4	-0.956893015443347	0.0281709375558421	-0.710740661915495	2.04355837644946	-0.8043	-0.79401	-0.62739	-0.61726	0.84901	1.53438	-17.47063	-5.3913	-0.291628610240628	-0.37962	-0.37744	-0.20459	-0.20487	-1.63015	6.4039	-31.75846	-10.72104	-4.16286673104454	-5.43767	-5.38882	-2.91388	-2.9111	-0.92428	5.47757	-30.196	-19.42219
"stick"	4	-0.95130198841216	0.248792119789869	-0.737078322837663	2.04355837644946	-0.8677	-0.90293	-0.59503	-0.58265	0.74873	1.96432	-19.94084	-2.12511	-0.287712665443767	-0.3759	-0.38268	-0.19613	-0.19613	-1.52766	6.23013	-31.48336	-9.40878	-4.17276130248703	-5.49149	-5.64648	-2.78142	-2.77166	-0.93424	5.44997	-30.14548	-7.96881
"stick"	4	-0.179597490048036	0.121068009117153	-0.118312269337704	2.04355837644946	-0.10183	-0.17722	-0.12278	-0.07142	0.56232	0.20156	2.82735	-0.35668	-0.0142227990538868	-0.01297	-0.02151	-0.01402	-0.00839	0.32422	0.25045	0.65543	-0.83734	-0.285095916225602	-0.25837	-0.43101	-0.28251	-0.1685	0.35098	0.24544	0.85746	-0.77815
"stick"	4	-0.780432785558514	0.207328531716485	-0.564400860436183	2.04355837644946	-0.71159	-0.59758	-0.46895	-0.47949	0.80427	1.16101	-14.68229	-2.98298	-0.162528329700686	-0.2219	-0.20012	-0.11228	-0.1158	-1.01612	3.72624	-26.34338	-14.32937	-2.69701392899604	-3.70694	-3.26391	-1.87807	-1.93913	-0.59934	3.31881	-25.18546	-9.65507
"stick"	4	-0.811186612164602	0.157808013493195	-0.630693363403889	2.04355837644946	-0.73071	-0.7684	-0.49243	-0.53123	0.59798	1.84999	-19.34117	-4.14285	-0.19040012313299	-0.2459	-0.25306	-0.13203	-0.13061	-1.39588	4.51626	-28.26623	-11.1091	-3.09086399866846	-3.97591	-4.1246	-2.13154	-2.13141	-0.97491	4.10034	-27.30008	-9.97721
"stick"	4	-0.584578674915247	0.0613451817189343	-0.405957830561419	2.04355837644946	-0.45897	-0.44412	-0.35021	-0.37053	0.83957	0.60151	-8.10633	-4.67253	-0.085734338005749	-0.10881	-0.10618	-0.06245	-0.06549	-0.34092	1.73902	-18.72261	-10.7582	-1.55660556182891	-1.95722	-1.90587	-1.15225	-1.21108	-0.10446	1.57826	-17.75263	-9.93954
"stick"	4	-0.543855086422991	0.184842538787052	-0.513073471436215	1.07317556880205	-0.5894	-0.54003	-0.41494	-0.50791	0.99105	0.12599	7.52612	-0.46853	-0.0731703550928497	-0.09728	-0.0915	-0.04811	-0.05579	-0.15584	1.43194	-16.77969	-4.79694	-1.34252435616634	-1.7778	-1.6636	-0.88895	-1.03975	0.06074	1.29083	-15.74225	-4.68341
"stick"	4	-0.550920740782749	0.102041611622553	-0.492218139390348	1.19100829486578	-0.56754	-0.41415	-0.54189	-0.44529	0.99666	0.07757	12.37584	-2.19439	-0.0741261546285514	-0.10101	-0.08051	-0.06047	-0.05452	-0.06881	1.3871	-16.4615	-10.67564	-1.35774424404601	-1.84097	-1.44109	-1.136	-1.01292	0.15017	1.23687	-15.3152	-10.74717
"stick"	4	-0.30478349509649	0.125567217124626	-0.189989772756086	2.04355837644946	-0.17585	-0.24207	-0.19135	-0.15068	0.82659	0.21032	2.40181	-0.57083	-0.0264547470868757	-0.02678	-0.03559	-0.02383	-0.01962	0.41944	0.38484	-3.64001	-2.58941	-0.520076809563233	-0.52138	-0.69668	-0.4741	-0.38815	0.47819	0.36485	-3.10656	-2.33097
"stick"	4	-0.341532887029462	0.145891299995128	-0.225370528331432	2.04355837644946	-0.28455	-0.27177	-0.16438	-0.18078	0.70579	0.32147	-1.84089	-0.90105	-0.0331033807393113	-0.04367	-0.04198	-0.02197	-0.02479	0.13882	0.55	-7.21097	-2.70466	-0.645443403956097	-0.84879	-0.8152	-0.43181	-0.48598	0.21989	0.52347	-6.71663	-2.52337
"stick"	4	-0.320443958020769	0.0882439661072567	-0.200317578016691	2.04355837644946	-0.21808	-0.22318	-0.19815	-0.16186	0.92469	0.16017	5.12611	-0.75508	-0.0289874216418936	-0.03407	-0.03479	-0.02603	-0.02105	0.56278	0.38592	-3.66812	-3.15952	-0.566722554449825	-0.66129	-0.67544	-0.51406	-0.41611	0.62101	0.3593	-2.95345	-2.83056
"stick"	4	-0.457781072508078	0.0632607147563249	-0.307901110051951	2.04355837644946	-0.35521	-0.3074	-0.2845	-0.2845	0.84846	0.39112	-3.80207	-9.93541	-0.0550521406411711	-0.07025	-0.06265	-0.04337	-0.04394	-0.05546	1.03222	-13.50654	-9.82285	-1.03726032389815	-1.31278	-1.16358	-0.83149	-0.84119	0.10979	0.94798	-12.65516	-10.49424
"stick"	4	-0.689525120460894	0.121800025808625	-0.502627298847124	2.04355837644946	-0.58249	-0.516	-0.50583	-0.40619	0.79463	0.9175	-12.32839	-1.84947	-0.12502387288845	-0.16426	-0.15179	-0.09755	-0.0865	-0.77311	2.69593	-23.1068	-7.90313	-2.16850555055114	-2.83219	-2.58465	-1.74252	-1.51466	-0.42871	2.41998	-22.02697	-7.06061
"stick"	4	-0.654855585226323	0.0672809793613851	-0.633989794967499	1.04362665583636	-0.65642	-0.68223	-0.67269	-0.52462	0.99627	0.11383	8.54151	-2.34496	-0.107253944214905	-0.13599	-0.13956	-0.08101	-0.07246	-0.4577	2.24914	-21.29488	-10.2904	-1.89040366682341	-2.37429	-2.44448	-1.45969	-1.28315	-0.16078	2.00705	-20.15603	-11.4692
"stick"	4	-0.77760904377792	0.144691503432114	-0.565991094397806	2.04355837644946	-0.62929	-0.63507	-0.5174	-0.4822	0.82358	1.0858	-14.01251	-5.84041	-0.163007346222915	-0.20882	-0.21003	-0.12145	-0.11173	-0.9666	3.62518	-26.06842	-11.27857	-2.70069125464226	-3.42757	-3.45165	-2.04777	-1.87577	-0.54546	3.21367	-24.86352	-12.97749
"stick"	4	-0.324898670450784	0.244621510209981	-0.21271919272062	2.04355837644946	-0.25429	-0.24688	-0.21733	-0.13238	0.53455	0.4378	-4.92943	-1.11189	-0.0305003319488298	-0.03818	-0.03724	-0.02803	-0.01856	-0.03054	0.65143	-8.90357	-2.65343	-0.597255949575663	-0.74458	-0.72585	-0.55479	-0.36381	0.04321	0.62769	-8.5323	-2.42623
"stick"	4	-0.537186630198266	0.0779116533813067	-0.359896238712628	2.04355837644946	-0.39909	-0.40433	-0.32446	-0.3117	0.8771	0.45274	-5.26494	-5.27355	-0.0719295863665939	-0.08943	-0.09031	-0.05533	-0.05266	-0.19262	1.41035	-16.62773	-7.57567	-1.32413437814064	-1.6293	-1.64661	-1.03519	-0.98544	0.0217	1.27735	-15.63725	-7.7726
"stick"	4	-0.262928012909833	0.0651063541299663	-0.160722278373932	2.04355837644946	-0.17731	-0.17429	-0.16437	-0.12692	0.91479	0.1244	7.65302	-4.46941	-0.021845686408205	-0.02576	-0.02537	-0.01999	-0.01627	0.58225	0.27544	-0.29557	-9.03911	-0.431034315010532	-0.50502	-0.49726	-0.39901	-0.32285	0.63263	0.2583	0.34704	-8.93465
"stick"	4	-0.209046997863334	0.0953397995908745	-0.127526347220342	2.04355837644946	-0.15636	-0.12969	-0.12833	-0.09572	0.65687	0.164	4.88932	-1.17074	-0.0159244001612512	-0.02027	-0.01721	-0.0146	-0.01161	0.36325	0.22341	1.79808	-0.84734	-0.317709798242002	-0.40313	-0.34132	-0.29419	-0.2322	0.40118	0.21665	2.10515	-0.8891
"stick"	4	-0.101667919999454	0.22781981038861	-0.0294607968288155	2.04355837644946	0.10203	-0.04957	0.03144	-0.20174	-0.054	0.21948	1.97569	-2.73421	-0.00241480849329842	0.01303	-0.00553	0.00367	-0.02083	-0.16977	0.23122	1.45465	-2.72107	-0.0506532272989682	0.25968	-0.11176	0.0738	-0.42433	-0.15464	0.22972	1.51972	-2.72354
"stick"	4	-0.341322255053092	0.0266074644750915	-0.21263889939648	2.04355837644946	-0.23264	-0.22367	-0.19342	-0.20082	0.92345	0.17084	4.48086	-6.25916	-0.0320017283683483	-0.03821	-0.03694	-0.02591	-0.02695	0.44243	0.46107	-5.44725	-14.56634	-0.62186281619522	-0.73631	-0.71119	-0.5098	-0.53015	0.52342	0.42627	-4.66251	-12.53933
