"model"	"n.muts"	"coes"	"sigma"	"u.mean"	"d.hat.max"	"u.hats.A"	"u.hats.B"	"u.hats.C"	"u.hats.D"	"R2.stick"	"sig.stick"	"lnL.stick"	"P.stick"	"s.mean"	"s.hats.A"	"s.hats.B"	"s.hats.C"	"s.hats.D"	"R2.mult"	"sig.mult"	"lnL.mult"	"P.mult"	"w.mean"	"w.hats.A"	"w.hats.B"	"w.hats.C"	"w.hats.D"	"R2.add"	"sig.add"	"lnL.add"	"P.add"
"stick"	4	-0.167824911710341	0.197823115449864	-0.139222422075757	2.06334334484274	-0.11743	-0.16716	-0.14728	-0.12502	-1.2698	0.4974	-6.20582	-2.65313	-0.0169134940553172	-0.01571	-0.02108	-0.01691	-0.01396	-1.64937	0.53738	-6.97897	-3.86163	-0.338772805816465	-0.31149	-0.42091	-0.34078	-0.28191	-1.60674	0.53304	-6.89788	-3.7423
"stick"	4	-0.679196148342453	0.19296842435142	-0.468714570984713	2.04355837644946	-0.49888	-0.48013	-0.48155	-0.4143	0.85373	0.76128	-10.46181	-4.12264	-0.117056677154503	-0.14659	-0.1428	-0.09604	-0.08279	-0.7278	2.61643	-22.80748	-8.04628	-2.0338635400687	-2.50949	-2.43575	-1.71954	-1.47068	-0.36355	2.32433	-21.62369	-8.17985
"stick"	4	-0.722305991547182	0.158319345617201	-0.510581405022971	2.04355837644946	-0.56665	-0.58217	-0.4197	-0.4738	0.85577	0.86493	-11.73827	-3.10694	-0.135966966750171	-0.17248	-0.17554	-0.09561	-0.10024	-0.76428	3.02511	-24.25885	-13.20277	-2.31792216041008	-2.90939	-2.9699	-1.64579	-1.74661	-0.39168	2.68675	-23.0727	-10.23654
"stick"	4	-0.261649746657349	0.126659815723542	-0.084587522703284	3.56320502689094	-0.06168	-0.08542	-0.07451	-0.11673	0.89632	0.14537	6.09539	-1.01668	-0.0181069396827131	-0.01456	-0.01958	-0.01475	-0.02354	0.83895	0.18118	3.89336	-1.22397	-0.357249452440823	-0.28259	-0.38217	-0.29499	-0.46925	0.85717	0.17062	4.49354	-1.18738
"stick"	4	-0.385411452641711	0.0607043982599862	-0.246116070521064	2.04355837644946	-0.27977	-0.25134	-0.21899	-0.23436	0.90634	0.23051	1.48507	-6.03142	-0.0394787458713813	-0.0491	-0.04488	-0.03145	-0.03249	0.29788	0.63114	-8.58709	-13.23858	-0.759090085424006	-0.93651	-0.85335	-0.61169	-0.63481	0.40435	0.58132	-7.76484	-12.99964
"stick"	4	-0.713033292326145	0.169498104951344	-0.520870664836755	2.04355837644946	-0.54697	-0.59091	-0.51576	-0.42984	0.8153	0.93949	-12.56518	-2.63915	-0.13474628981705	-0.16622	-0.17518	-0.10252	-0.09508	-0.76444	2.90374	-23.84938	-8.92062	-2.30993296030253	-2.80417	-2.97943	-1.80998	-1.64615	-0.41024	2.59598	-22.72901	-8.2356
"stick"	4	-0.675112616235856	0.0168123024050146	-0.667039777792547	1.01660771155066	-0.67309	-0.67416	-0.66859	-0.65231	0.99993	0.01599	28.1676	-1.06227	-0.115224509048985	-0.1463	-0.14645	-0.08472	-0.08342	-0.56327	2.43776	-22.1002	-11.83519	-2.0119250767294	-2.52771	-2.53073	-1.50738	-1.48188	-0.23735	2.16881	-20.93118	-16.08232
"stick"	4	-0.306237790721934	0.102644851838704	-0.239642337500529	1.32038646024272	-0.14297	-0.31905	-0.27636	-0.22019	0.97683	0.07797	12.32495	-2.8638	-0.0245344799655658	-0.01785	-0.03609	-0.02325	-0.02095	0.68921	0.28554	-0.65561	-3.83084	-0.481659819722135	-0.34436	-0.70498	-0.46374	-0.41356	0.73736	0.26249	0.18602	-3.41185
"stick"	4	-0.158675342495553	0.215879742114339	-0.152343970996218	2.18713319206914	-0.23444	-0.2363	-0.02606	-0.11258	-2.69808	0.66069	-9.04472	-0.66021	-0.0178064023869857	-0.02656	-0.02676	-0.0041	-0.01381	-1.88623	0.58368	-7.80541	-0.96114	-0.360101195570103	-0.53894	-0.54312	-0.08037	-0.27798	-1.9535	0.59045	-7.92061	-0.92592
"stick"	4	-0.744777274865192	0.0178343495936133	-0.530684889284968	2.04355837644946	-0.5845	-0.6003	-0.46956	-0.46838	0.85578	0.89229	-12.0497	-6.20786	-0.145081213590614	-0.18429	-0.18746	-0.10426	-0.10432	-0.82891	3.17753	-24.75043	-12.24255	-2.44861816627683	-3.07618	-3.13905	-1.78953	-1.78971	-0.43288	2.81254	-23.53027	-15.38563
"stick"	4	-0.98136211221572	0.121533394732978	-0.738307837270608	2.04355837644946	-0.86237	-0.82303	-0.68077	-0.58707	0.83464	1.72062	-18.61626	-3.39644	-0.318667564025209	-0.41841	-0.41008	-0.22641	-0.21977	-1.66324	6.90516	-32.51207	-12.60089	-4.42621904755213	-5.89015	-5.69826	-3.1423	-2.97416	-0.94828	5.90601	-30.9491	-12.03608
"stick"	4	-0.53696474279277	0.169888485572301	-0.377712004989001	2.04355837644946	-0.33932	-0.42933	-0.34763	-0.39457	0.81597	0.59444	-7.98805	-0.99947	-0.0759572985751183	-0.08251	-0.09805	-0.06087	-0.06239	-0.2888	1.5731	-17.71984	-5.4092	-1.39472623051101	-1.4788	-1.78296	-1.13661	-1.18053	-0.06882	1.43257	-16.78407	-4.53383
"stick"	4	-0.434654277563095	0.0442289605853148	-0.415871888020666	1.07622228848116	-0.42575	-0.41603	-0.4203	-0.40141	0.99792	0.04223	18.45692	-1.08648	-0.048535499949858	-0.05922	-0.05814	-0.03883	-0.03795	0.23154	0.81135	-11.09887	-9.68871	-0.920866583772554	-1.11267	-1.09148	-0.74892	-0.7304	0.36252	0.73898	-10.16451	-9.47316
"stick"	4	-0.475025653361809	0.0446242173784412	-0.313629888307405	2.04355837644946	-0.33602	-0.34537	-0.26661	-0.30653	0.90041	0.33588	-2.27951	-2.18719	-0.056823345090392	-0.06833	-0.06983	-0.04267	-0.04645	0.09718	1.0113	-13.30175	-7.55258	-1.06794502988495	-1.26974	-1.29914	-0.81209	-0.89081	0.25049	0.92144	-12.37122	-6.57953
"stick"	4	-0.0781760247773491	0.201142378384247	-0.0225236812896649	2.04355837644946	-0.01618	0.05056	-0.01115	-0.11332	-0.31493	0.19465	3.17591	-3.12921	-0.00212872854958915	-0.00148	0.00564	-0.00078	-0.0119	-0.34887	0.19715	3.04851	-3.08021	-0.0437928917298679	-0.03062	0.11412	-0.01674	-0.24194	-0.34466	0.19684	3.06412	-3.08313
"stick"	4	-0.692189881682862	0.144560720073059	-0.610381068130516	1.2161068196781	-0.5933	-0.60624	-0.57979	-0.66219	0.99563	0.13259	7.01541	-0.39659	-0.119635813382311	-0.14851	-0.15052	-0.08606	-0.09345	-0.5585	2.50467	-22.37097	-10.82518	-2.0663278184654	-2.5241	-2.56369	-1.51606	-1.66147	-0.18764	2.18645	-21.0122	-10.90329
"stick"	4	-0.523523013468366	0.216155149682891	-0.353735947072324	2.04355837644946	-0.41354	-0.38757	-0.25209	-0.36174	0.82154	0.53673	-6.96676	-5.99472	-0.068518683496384	-0.08817	-0.08361	-0.04687	-0.05542	-0.13942	1.35619	-16.23617	-7.02681	-1.26989148655898	-1.62223	-1.53388	-0.86887	-1.05459	0.04196	1.24357	-15.36926	-7.17184
"stick"	4	-0.0626846388098784	0.246046331420075	-0.0809366146030485	2.35559615288673	-0.19576	-0.11896	-0.04454	0.03551	-6.05183	0.53744	-6.98002	-2.64543	-0.00904337870399363	-0.02095	-0.01313	-0.00558	0.00348	-4.51164	0.47514	-5.7479	-2.63249	-0.185215355917499	-0.43108	-0.26924	-0.11301	0.07247	-4.64199	0.48072	-5.86478	-2.63306
"stick"	4	-0.894215411401819	0.194351276208181	-0.665770510791828	2.04355837644946	-0.68065	-0.68244	-0.63728	-0.66272	0.82395	1.43011	-16.76693	-6.3384	-0.24625647458659	-0.31183	-0.31221	-0.17937	-0.18161	-1.68377	5.58379	-30.38806	-9.71313	-3.68600151385838	-4.59133	-4.59947	-2.75082	-2.80239	-0.97399	4.78883	-28.85224	-11.80063
"stick"	4	-0.564302818058059	0.0814478051615879	-0.382330014913073	2.04355837644946	-0.43949	-0.39364	-0.35872	-0.33747	0.8592	0.51581	-6.56929	-7.55647	-0.0792228758483298	-0.10209	-0.09433	-0.0616	-0.05887	-0.34524	1.5944	-17.85435	-8.30384	-1.44542468994037	-1.8471	-1.69433	-1.14729	-1.09298	-0.09765	1.44022	-16.83734	-8.83144
"stick"	4	-0.199912117153872	0.104493412422016	-0.122210989658434	2.04355837644946	-0.08776	-0.16192	-0.16332	-0.07585	0.76674	0.14784	5.9267	-1.67266	-0.0150219754418051	-0.0117	-0.0209	-0.01811	-0.00938	0.52936	0.21	2.41698	-2.47734	-0.300275119585539	-0.23189	-0.41604	-0.36596	-0.18722	0.55914	0.20325	2.74392	-2.18646
"stick"	4	-0.458537792530842	0.168472912861034	-0.304283234348416	1.75916067048713	-0.40661	-0.227	-0.25197	-0.33155	0.9497	0.25194	0.59607	-0.25633	-0.0519615195626901	-0.07533	-0.04785	-0.03724	-0.04742	0.36663	0.89406	-12.06956	-2.75285	-0.972873543398818	-1.40686	-0.87183	-0.70718	-0.90563	0.50434	0.79091	-10.84368	-2.35662
"stick"	4	-0.530509576352779	0.204656727844849	-0.372103261984896	2.04355837644946	-0.4094	-0.44102	-0.27142	-0.36658	0.6653	0.75575	-10.38898	-1.48879	-0.0714098834015888	-0.08722	-0.092	-0.0489	-0.05752	-0.44332	1.56939	-17.69628	-5.4118	-1.32549201684272	-1.60251	-1.69788	-0.91024	-1.09134	-0.25253	1.46199	-16.98739	-4.65852
"stick"	4	-0.204567032936029	0.0972385801724158	-0.120290568977447	2.04355837644946	-0.12352	-0.13008	-0.06859	-0.15897	0.825	0.12502	7.60313	-1.49809	-0.0148489792571709	-0.01619	-0.01699	-0.00826	-0.01796	0.579	0.19392	3.21374	-3.12315	-0.296677678627097	-0.32155	-0.33756	-0.16542	-0.36218	0.61017	0.1866	3.59836	-2.94918
"stick"	4	-0.570375519106165	0.228497581440024	-0.413086748171091	1.60604818920399	-0.34733	-0.45864	-0.38795	-0.45843	0.99245	0.12239	7.81568	-0.32986	-0.073685950190133	-0.0777	-0.09711	-0.05679	-0.06314	0.23146	1.23448	-15.29589	-5.92291	-1.34756591009198	-1.38624	-1.75603	-1.05973	-1.18827	0.41615	1.07597	-13.92163	-4.84294
"stick"	4	-0.979768878861796	0.00189320731442422	-0.72932775766324	2.04355837644946	-0.8183	-0.81815	-0.64109	-0.63978	0.85548	1.58517	-17.79632	-4.96665	-0.317169902967095	-0.4112	-0.41116	-0.22322	-0.22309	-1.73454	6.89523	-32.49768	-10.64796	-4.395182106001	-5.72207	-5.72134	-3.07011	-3.0672	-0.9718	5.85516	-30.86262	-28.51438
"mult"	4	-0.518437336315401	0.111474018660374	-0.698438240880963	2.04355837644946	-0.09171	-0.09855	-1.28813	-1.31536	-10.4418	11.39807	-37.52383	-5.65419	-0.514120333318731	-0.49628	-0.52388	-0.50777	-0.52855	0.99887	0.11345	8.57482	-1.38995	-3.88138768089839	-1.71153	-1.83786	-5.89983	-6.07633	-3.45084	7.10895	-32.80293	-16.84798
"mult"	4	-0.548477760574315	0.0617277176934294	-0.71084681261469	2.04355837644946	-0.08297	-0.0888	-1.33263	-1.33898	-12.40415	11.83438	-37.89947	-5.85262	-0.561210058846115	-0.54976	-0.57568	-0.55987	-0.55953	0.99696	0.17818	4.06023	-2.25606	-3.9278523694357	-1.59314	-1.70376	-6.19094	-6.22357	-4.46165	7.55419	-33.41041	-19.27473
"mult"	4	-0.905754965462256	0.103516073606443	-0.78646458962516	2.04355837644946	-0.00386	-0.0138	-1.55914	-1.56907	-309.43169	14.95677	-40.24102	-11.3655	-0.542645763944704	-0.37507	0	-0.89463	-0.90088	-27.5101	4.53267	-28.3025	-0.58502	-3.99719109499574	-0.08641	-0.30753	-7.75716	-7.83766	-175.07582	11.26431	-37.40578	-20.12718
"mult"	4	-0.919222931575496	0.183657112938818	-0.788018133219177	2.04355837644946	-0.00596	-0.01544	-1.58046	-1.55021	-362.28463	14.92319	-40.21855	-11.72468	-0.530842563196138	-0.47743	0	-0.8912	-0.75475	-25.40699	4.02344	-27.11076	-1.41092	-4.02199060419435	-0.13295	-0.34331	-7.93581	-7.67589	-203.46778	11.19569	-37.34467	-17.17285
"mult"	4	-0.856920706911478	0.242098924180027	-0.7705121736615	2.04355837644946	0.00682	0.00995	-1.5433	-1.55552	-176.06319	14.79571	-40.13276	-10.7408	9.57570994984962	39.64607	0	-0.72032	-0.62291	-86563.91944	327.1467	-71.09347	-1.2258	-3.74807995141476	0.15249	0.22351	-7.64038	-7.72793	-105.60387	11.48043	-37.59582	-14.79396
"mult"	4	-0.0544047566480004	0.170145418029279	-0.266685555272879	2.04355837644946	-0.22039	-0.16518	-0.38686	-0.29431	0.07888	1.02599	-13.44592	-3.6931	-0.0523763247223455	-0.05927	-0.04574	-0.05868	-0.04581	0.95112	0.23634	1.2354	-0.07782	-0.961186610885041	-1.04807	-0.80285	-1.1228	-0.87103	0.89928	0.33926	-2.37944	-0.45911
"mult"	4	-0.276156052981969	0.119265452609397	-0.606994163636819	2.04355837644946	-0.21297	-0.21031	-0.97244	-1.03226	-3.0059	6.53974	-31.96836	-4.74253	-0.288804456175059	-0.29597	-0.2929	-0.27427	-0.29208	0.98701	0.37239	-3.31134	-0.99988	-3.44636112805489	-2.7393	-2.70654	-4.02995	-4.30965	0.40053	2.52985	-22.47097	-8.70361
"mult"	4	-0.562169298005756	0.00767136103240773	-0.712021188392337	2.04355837644946	-0.08262	-0.08169	-1.34136	-1.34242	-13.44234	11.99728	-38.03619	-5.96401	-0.564516824201742	-0.56772	-0.5632	-0.56282	-0.56433	0.99989	0.03378	20.6904	-1.48117	-3.91237189706324	-1.59666	-1.57888	-6.23295	-6.24099	-5.05286	7.76684	-33.68803	-28.30652
"mult"	4	-0.686724262684584	0.223245592438616	-0.73142716357451	2.04355837644946	-0.02923	-0.03594	-1.41964	-1.4409	-25.97889	13.53072	-39.23901	-6.90761	-0.566876821197591	-0.41972	-0.5715	-0.6412	-0.63508	0.70468	1.41566	-16.66534	-1.05154	-3.74964205231392	-0.61249	-0.75554	-6.74869	-6.88184	-13.28127	9.84447	-36.05848	-13.91078
"mult"	4	-0.589187017118093	0.0802612093975767	-0.72015743635421	2.04355837644946	-0.07576	-0.07896	-1.35656	-1.36934	-15.51031	12.34456	-38.32154	-6.14011	-0.610782264340026	-0.61524	-0.63209	-0.59455	-0.60126	0.99327	0.2493	0.70144	-1.373	-3.94553995849536	-1.49009	-1.55276	-6.32955	-6.40977	-6.13691	8.11621	-34.12801	-18.23701
"mult"	4	-0.983222414832562	0.0467837061733007	-0.800767748273747	2.04355837644946	-0.00132	0.00029	-1.59774	-1.6043	-11163.06289	15.286	-40.45876	-18.29218	-0.686951968671143	-0.57739	-0.30453	-0.93566	-0.93023	-228.31464	2.19078	-21.03196	-0.45795	-4.05657104588466	-0.02954	0.00641	-8.07347	-8.12968	-6435.67804	11.60683	-37.70532	-26.81782
"mult"	4	-0.637290964298882	0.136226139380597	-0.738220877351108	2.04355837644946	-0.0695	-0.06347	-1.42658	-1.39333	-19.9528	12.82881	-38.70632	-6.55469	-0.819775963150407	-0.88454	-0.86873	-0.78581	-0.74002	0.6095	1.75136	-18.79333	-1.59212	-4.02573548485793	-1.41597	-1.29425	-6.82601	-6.56671	-8.38954	8.58791	-34.69294	-15.40475
"mult"	4	-0.622413769620471	0.184132071211934	-0.712115718513493	2.04355837644946	-0.06093	-0.05108	-1.37075	-1.3657	-19.91678	13.03971	-38.86938	-6.3222	-0.539892520786545	-0.55764	-0.4808	-0.57233	-0.5488	0.77954	1.3387	-16.1064	-1.60012	-3.74214638559469	-1.2248	-1.02658	-6.38183	-6.33537	-9.4477	9.21575	-35.39853	-16.65085
"mult"	4	-0.794668732432183	0.0690623787231743	-0.762501027276381	2.04355837644946	-0.01713	-0.02138	-1.50835	-1.50314	-66.5439	14.29428	-39.78798	-8.55656	-0.797837541850948	-0.73396	-0.84763	-0.80836	-0.8014	0.99516	0.12105	7.92651	-1.37894	-3.88656002871858	-0.37444	-0.46754	-7.37171	-7.33255	-36.1829	10.60574	-36.80334	-26.812
"mult"	4	-0.353869615937583	0.0336238858290017	-0.63832376139404	2.04355837644946	-0.16345	-0.16587	-1.10807	-1.11591	-4.77079	8.42384	-34.50004	-4.98537	-0.353672508026151	-0.35148	-0.35562	-0.35266	-0.35493	1	0.00732	35.98058	-0.27315	-3.65308343874216	-2.46706	-2.50238	-4.80279	-4.84011	-0.40325	4.15394	-27.42995	-23.2595
"mult"	4	-0.39863386079669	0.0387032949365675	-0.659368938124604	2.04355837644946	-0.14239	-0.1458	-1.17214	-1.17714	-5.94246	9.32187	-35.51301	-5.13221	-0.398292932883325	-0.39283	-0.40016	-0.39821	-0.40198	0.99995	0.02606	23.28407	-2.01422	-3.76901765455667	-2.31001	-2.36385	-5.18407	-5.21813	-0.96273	4.95652	-29.19642	-20.40745
"mult"	4	-0.669724691240117	0.150416037882678	-0.742058960477607	2.04355837644946	-0.04891	-0.047	-1.42711	-1.44522	-24.72583	13.18826	-38.98266	-6.86829	-0.670667978518606	-0.67243	-0.65323	-0.66832	-0.68869	0.99513	0.18137	3.88267	-0.21223	-3.93172833759134	-1.0135	-0.97389	-6.80713	-6.9324	-11.47712	9.1846	-35.36466	-15.75302
"mult"	4	-0.473928345018066	0.0975336039555259	-0.682997680335605	2.04355837644946	-0.11241	-0.1135	-1.26012	-1.24596	-8.81452	10.78601	-36.97189	-5.45198	-0.463807249479747	-0.45992	-0.46353	-0.46548	-0.4663	0.99396	0.26768	-0.0098	-2.91455	-3.83691205290551	-1.99819	-2.01751	-5.69705	-5.63489	-2.52757	6.46642	-31.85561	-21.80679
