"model"	"n.muts"	"coes"	"sigma"	"u.mean"	"d.hat.MLE"	"u.hats.mut.1"	"u.hats.mut.2"	"u.hats.mut.3"	"u.hats.mut.4"	"R2.stick"	"sig.stick"	"lnL.stick"	"P.stick"	"s.mean"	"s.hats.mut.1"	"s.hats.mut.2"	"s.hats.mut.3"	"s.hats.mut.4"	"R2.mult"	"sig.mult"	"lnL.mult"	"P.mult"	"w.mean"	"w.hats.mut.1"	"w.hats.mut.2"	"w.hats.mut.3"	"w.hats.mut.4"	"R2.add"	"sig.add"	"lnL.add"	"P.add"
"stick"	4	0.20483759935014	0.0425490456400439	0.314863686410129	0.738498588937565	0.31083	0.38207	0.32397	0.24258	0.87462	0.04116	29.34134	-2.19957	0.123023557411481	0.11925	0.15303	0.12036	0.09945	-0.07631	0.1206	12.14183	-17.90569	0.147543641068909	0.14396	0.18318	0.14552	0.11751	0.34985	0.09373	16.17464	-12.82564
"stick"	4	0.3375747108832	0.0476420050836168	0.316416408681296	1.05329543086909	0.31298	0.31715	0.33253	0.303	0.95547	0.03446	32.18412	-2.16598	0.166174600995994	0.1629	0.1599	0.17799	0.1639	-0.1709	0.1767	6.02951	-28.71688	0.212017317418564	0.20811	0.20659	0.22594	0.20743	0.42808	0.1235	11.76168	-21.04614
"stick"	4	0.163946732098702	0.119148430530913	0.145112852624879	1.140887316091	0.2048	0.16213	0.13832	0.07521	0.71239	0.07392	19.97391	-3.70061	0.11367160203159	0.16319	0.1319	0.09399	0.0656	0.51742	0.09575	15.83352	-8.28338	0.133642885343031	0.19113	0.15282	0.11736	0.07327	0.64294	0.08236	18.24343	-6.0427
"stick"	4	0.4995030507911	0.173162119055633	0.40963576030016	1.22947149752632	0.26545	0.44827	0.54219	0.38263	0.20426	0.20638	3.54527	-5.57767	0.181742094043728	0.14702	0.17898	0.25724	0.14373	-2.17059	0.41197	-7.51397	-20.41593	0.245647341773142	0.18446	0.2499	0.3495	0.19873	-1.17919	0.34154	-4.51427	-13.41874
"stick"	4	0.247175807855092	0.066225478425622	0.176546090126969	1.20812377982274	0.20247	0.15767	0.19294	0.1531	0.84444	0.06872	21.14014	-7.10575	0.142436443178849	0.1549	0.13043	0.15795	0.12646	0.65529	0.1023	14.77492	-13.29002	0.170604608916591	0.19026	0.15523	0.1875	0.14943	0.78161	0.08142	18.42615	-10.76162
"stick"	4	0.102052091539372	0.140222003683448	0.0368583024735224	2.22375004645451	0.0634	-0.03539	0.06262	0.0568	0.45793	0.13304	10.57055	-9.95857	0.0746554937082012	0.13838	-0.07462	0.12092	0.11395	0.44176	0.13501	10.33548	-10.16203	0.0788274116300317	0.13963	-0.07631	0.13144	0.12055	0.45597	0.13328	10.54168	-9.8429
"stick"	4	0.401141018618364	0.0508962186286226	0.410020915084921	0.986235957374489	0.40345	0.45571	0.37126	0.40967	0.90293	0.04789	26.9181	-1.89559	0.170848775609922	0.1725	0.18434	0.15586	0.17069	-1.43934	0.24007	1.12608	-27.10494	0.22195755717771	0.22261	0.24166	0.2021	0.22146	-0.36054	0.17929	5.79683	-22.54089
"stick"	4	0.314377401478123	0.0899149507749826	0.174855932750208	1.59106141892118	0.16547	0.1561	0.24618	0.13168	0.89008	0.06852	21.18798	-3.8249	0.173825799883697	0.15017	0.15824	0.25636	0.13054	0.58194	0.13362	10.50131	-13.56781	0.219683784426129	0.19708	0.19758	0.3185	0.16557	0.80347	0.09161	16.53965	-7.48137
"stick"	4	0.177664334489964	0.208289415342733	0.181819875563716	0.930650501962676	-0.08499	0.04209	0.39261	0.37757	0.44888	0.18736	5.09242	-8.0473	0.122472063703719	0.00673	0.0283	0.23359	0.22127	0.61127	0.15736	7.88494	-6.40021	0.140436072553718	-0.00377	0.03879	0.27063	0.25609	0.5953	0.16056	7.56282	-6.00247
"stick"	4	0.0661629180773161	0.0215897472226061	0.0168122043812232	3.61821582396325	0.01258	0.01902	0.01602	0.01963	0.90213	0.01739	43.12902	-0.72383	0.0550557846405986	0.04108	0.06263	0.05221	0.0643	0.88877	0.01854	42.1049	-2.04574	0.0594273754739804	0.04445	0.06732	0.05655	0.06939	0.90138	0.01745	43.06747	-0.92764
"stick"	4	0.151572733279318	0.0460142253432423	0.140144493464897	1.05372632998644	0.12536	0.16944	0.10385	0.16193	0.86622	0.03795	30.63897	-1.18731	0.10389406457272	0.09215	0.12543	0.07566	0.12233	0.64987	0.0614	22.9422	-6.2905	0.120737148067116	0.10721	0.14618	0.08824	0.14132	0.79065	0.04748	27.05659	-3.43038
"stick"	4	0.455456159159075	0.143274913658388	0.433253453423303	1.15504165254153	0.64082	0.26645	0.51084	0.3149	0.86474	0.08502	17.73469	-4.16789	0.199155245260604	0.3134	0.10426	0.22106	0.15791	-1.0023	0.32712	-3.82395	-28.41755	0.264627331277194	0.42088	0.13881	0.29745	0.20137	-0.1642	0.24943	0.51414	-19.12528
"stick"	4	0.421834785770625	0.0590047379955649	0.360689510068999	1.07564930008435	0.31028	0.47464	0.35634	0.3015	0.86648	0.06708	21.52595	-4.91841	0.177090936010198	0.14304	0.23956	0.15805	0.16772	-0.84616	0.24945	0.5131	-30.7312	0.229927574649225	0.18632	0.312	0.20893	0.21246	-0.04301	0.18749	5.08105	-20.18283
"stick"	4	0.240066765097436	0.20258300594287	0.18304490376632	1.20157201684701	0.08391	0.1844	0.14752	0.31635	0.37576	0.22053	2.48449	-7.50289	0.139918686670746	0.01284	0.17714	0.08839	0.2813	0.1768	0.25325	0.27114	-18.03322	0.162462063455058	0.04189	0.18525	0.11194	0.31077	0.28778	0.23556	1.42967	-12.39644
"stick"	4	0.0779472180525772	0.230066947813611	-0.0100023423590886	2.06856833884796	0.0199	0.02159	-0.10012	0.01861	-0.44416	0.31344	-3.14068	-15.49938	-0.0253409923327834	0.00155	0.04114	-0.14742	0.00337	-0.53337	0.32298	-3.6202	-9.09541	-0.0208845287444956	0.02345	0.04734	-0.17762	0.02329	-0.45842	0.31498	-3.21926	-12.15128
"stick"	4	0.429265487205703	0.0847919948282652	0.461270964989746	1.00885456673691	0.41464	0.51288	0.42917	0.4884	0.80036	0.0744	19.86918	-2.92859	0.178596634207864	0.15211	0.19091	0.17845	0.19291	-2.15308	0.29569	-2.20792	-28.50937	0.235418006212738	0.20184	0.25328	0.23372	0.25282	-0.8842	0.22858	1.91111	-20.1486
