"model"	"n.muts"	"coes"	"sigma"	"u.mean"	"d.hat.MLE"	"u.hats.mut.1"	"u.hats.mut.2"	"u.hats.mut.3"	"u.hats.mut.4"	"R2.stick"	"sig.stick"	"lnL.stick"	"P.stick"	"s.mean"	"s.hats.mut.1"	"s.hats.mut.2"	"s.hats.mut.3"	"s.hats.mut.4"	"R2.mult"	"sig.mult"	"lnL.mult"	"P.mult"	"w.mean"	"w.hats.mut.1"	"w.hats.mut.2"	"w.hats.mut.3"	"w.hats.mut.4"	"R2.add"	"sig.add"	"lnL.add"	"P.add"
"stick"	4	0.179511568380985	0.237604558467865	0.0936628840307835	1.72696350164269	-0.05567	0.08948	0.15858	0.18226	0.3394	0.2975	-2.30579	-11.09013	0.150798385727349	-0.14399	0.14361	0.31868	0.28489	0.13889	0.33967	-4.42633	-15.42133	0.148207213652743	-0.10813	0.13696	0.27943	0.28456	0.3186	0.30215	-2.55382	-13.16659
"stick"	4	0.100683231407311	0.137561971670948	0.0588000161784304	1.36672451035424	0.09205	0.08267	-0.02386	0.08434	0.41993	0.09956	15.20924	-6.92407	0.0671009557421504	0.1053	0.08529	-0.01634	0.09416	0.38993	0.1021	14.80593	-7.39337	0.0736627285524907	0.11494	0.09856	-0.02286	0.10401	0.41175	0.10026	15.09724	-7.0039
"stick"	4	0.0695402427227236	0.0534281054860912	0.0971268301605875	0.82942679639588	0.10533	0.0184	0.15339	0.11139	0.71713	0.04856	26.69503	-2.88067	0.0659510999004355	0.06633	0.01213	0.10788	0.07747	0.83604	0.03697	31.05796	-2.58464	0.0713365598868781	0.07403	0.01323	0.1152	0.08288	0.79967	0.04087	29.45511	-2.13109
"stick"	4	0.196409572660923	0.0723239211365581	0.298287763066572	0.723616635791457	0.29009	0.35327	0.2781	0.27169	0.86144	0.0408	29.48134	-0.96584	0.116275807459306	0.10803	0.14125	0.1073	0.10852	-0.04082	0.11183	13.34986	-17.10769	0.138316499729623	0.12978	0.16777	0.12765	0.12807	0.35475	0.08805	17.17483	-11.5272
"stick"	4	0.493439087085426	0.198492328810971	0.263470368775481	1.41075861749387	0.16725	0.30617	0.38295	0.1975	0.28908	0.22348	2.27213	-11.27273	0.183988985798633	0.11028	0.1965	0.30201	0.12716	-1.23726	0.39644	-6.8995	-19.21801	0.242890708617907	0.14171	0.26523	0.3983	0.16632	-0.55622	0.33064	-3.99557	-14.82142
"stick"	4	0.424778661353048	0.141548158950172	0.101673881205342	3.33311389953326	0.14423	0.103	0.06174	0.09773	0.73422	0.16597	7.03225	-5.35866	0.219784374625329	0.31305	0.21385	0.15545	0.19678	0.53345	0.21989	2.5308	-8.65638	0.295346090956602	0.41961	0.29327	0.19267	0.27583	0.71011	0.17333	6.33757	-5.32132
"stick"	4	0.428867951454595	0.0860580065636896	0.37308295708835	1.14868056738488	0.35879	0.34444	0.40486	0.38424	0.78581	0.08733	17.30678	-4.68371	0.186829566041006	0.20121	0.18396	0.18693	0.17522	-1.08931	0.27274	-0.91513	-24.02955	0.248134399051054	0.26204	0.24366	0.25188	0.23496	-0.14488	0.20189	3.89714	-15.88241
"stick"	4	0.44711934706429	0.0347609219606966	0.456277102218522	1.00042597475647	0.46254	0.45619	0.45182	0.45456	0.95866	0.03063	34.07043	-0.69043	0.176522409098056	0.18024	0.16844	0.17728	0.18013	-2.46005	0.28019	-1.34662	-36.15078	0.232098528657785	0.23651	0.22261	0.23312	0.23615	-0.98834	0.2124	3.08526	-34.99489
"stick"	4	0.465530492318794	0.236725386406761	0.222601096727439	1.28436324588293	0.46473	0.44064	0.08869	-0.10366	-0.29247	0.36415	-5.53993	-13.546	0.161378602202528	0.29966	0.23991	0.10044	0.0055	-1.1424	0.46883	-9.5829	-18.35091	0.205627921298349	0.39184	0.33262	0.1201	-0.02205	-0.72988	0.42129	-7.87193	-14.90111
"stick"	4	0.444261429051403	0.0697496153879911	0.413109470129621	1.06064539577212	0.47535	0.38859	0.4668	0.3217	0.76193	0.0907	16.70054	-5.22162	0.182755357176805	0.19469	0.16209	0.18586	0.18838	-1.64016	0.30203	-2.54755	-36.25367	0.240902616344963	0.26013	0.21226	0.24902	0.2422	-0.56627	0.23263	1.62958	-25.58756
"stick"	4	0.203517085092608	0.087128552258946	0.0516354288003362	3.56127452582446	0.05599	0.06638	0.04601	0.03815	0.91569	0.04777	26.95841	-2.52308	0.141581259856833	0.1548	0.18265	0.12981	0.09907	0.83043	0.06775	21.36846	-8.43207	0.171430274231665	0.18629	0.22086	0.15403	0.12454	0.90897	0.04964	26.3452	-3.36638
"stick"	4	0.12352839987725	0.223461023764685	0.0753290846139945	2.00668057470623	0.03573	0.11992	0.09239	0.05327	0.27366	0.1911	4.77659	-5.56605	0.127060449950843	0.02841	0.21306	0.18493	0.08184	0.30727	0.18662	5.1556	-10.88068	0.13984627015075	0.0555	0.22765	0.18195	0.09428	0.31049	0.18619	5.19292	-7.32032
"stick"	4	0.152161017886829	0.118893031205516	0.44542115738955	0.503997174837273	0.40422	0.52987	0.46386	0.38373	-0.0299	0.14279	9.43913	-3.36349	0.101723332225771	0.05261	0.11636	0.14042	0.0975	0.51699	0.09779	15.49651	-7.49149	0.117385233986632	0.06699	0.13602	0.15439	0.11213	0.53925	0.09551	15.87408	-6.54171
"stick"	4	0.112372508994304	0.244535565201659	0.132561218307997	0.665564246177157	-0.19913	0.33424	0.0467	0.34843	0.20594	0.19549	4.41326	-7.99404	0.0727896969091565	-0.03188	0.13561	0.04196	0.14547	0.31482	0.18159	5.59312	-13.33346	0.07792063709286	-0.04594	0.15596	0.03363	0.16804	0.30979	0.18226	5.53453	-11.56362
"stick"	4	0.0513950250810012	0.0720282861148007	0.18989568125397	0.452877094850914	0.04945	0.32931	0.13153	0.24929	0.42268	0.0803	18.64784	-6.78154	0.0628469738798753	0.02449	0.11385	0.03393	0.07912	0.52244	0.07304	20.16556	-8.49907	0.0673892187602635	0.0249	0.12043	0.03926	0.08497	0.51599	0.07353	20.05821	-7.83917
"stick"	4	0.0593028983101249	0.137472638802137	0.0554548362290251	1.06347813010349	0.03935	0.09712	0.01196	0.07339	0.23715	0.11124	13.43372	-13.3559	0.0565910863903702	0.04877	0.09118	-0.00253	0.08894	0.19754	0.11409	13.02872	-17.27795	0.0573084400517058	0.04489	0.09627	0.0052	0.08288	0.22853	0.11187	13.34377	-15.32427
"stick"	4	0.30935432073893	0.211442671658006	0.0966566653208054	2.78382264129132	0.05901	0.15336	0.10903	0.06523	0.36478	0.2451	0.79454	-6.9237	0.176786163755845	0.0971	0.29396	0.20901	0.10707	0.23047	0.26977	-0.74	-8.10661	0.229713824913418	0.13347	0.37348	0.26449	0.14741	0.34119	0.24961	0.50281	-7.15711
"stick"	4	0.285985404439271	0.243234016292263	0.193265610903593	1.34606900465038	0.30361	-0.02459	0.19031	0.30373	0.28645	0.24251	0.96413	-10.6215	0.151007993090108	0.18789	0.01145	0.16807	0.23663	-0.10336	0.30157	-2.52275	-11.99116	0.189927519047208	0.25503	0.00502	0.20408	0.29558	0.11528	0.27004	-0.75594	-10.12431
"stick"	4	0.0666776296915487	0.203793544496875	0.103561616750848	0.906459681043125	0.12063	0.16741	0.20357	-0.07736	0.26579	0.17837	5.87953	-11.46973	0.0663808534084733	0.08901	0.12469	0.12441	-0.07258	0.17868	0.18865	4.98259	-12.36014	0.0740359383913968	0.09488	0.13016	0.14204	-0.07093	0.22678	0.18305	5.46535	-11.62426
"stick"	4	0.203729270352051	0.190343198657501	0.0920407609325466	2.43520451949852	0.10041	0.07233	0.10113	0.09429	0.4898	0.19984	4.0608	-10.68681	0.164965054307798	0.19502	0.10209	0.19863	0.16412	0.41996	0.21308	3.03448	-11.76754	0.199706433575843	0.22357	0.14499	0.22595	0.20432	0.47909	0.20193	3.89469	-10.84136
"stick"	4	0.310254305694252	0.11609681340633	0.36285283165913	0.853622748279014	0.25876	0.33034	0.47104	0.39127	0.95889	0.03179	33.47595	-2.54755	0.151717384750572	0.10248	0.13627	0.20919	0.15893	-0.09142	0.16379	7.24381	-32.1772	0.187741952899673	0.1275	0.16771	0.25719	0.19856	0.39181	0.12227	11.92175	-23.3631
"stick"	4	0.421632903022692	0.0666073248721659	0.401198622211371	0.936212460429927	0.36107	0.38062	0.42227	0.44084	0.80515	0.0705	20.73145	-4.89563	0.163999703631677	0.16789	0.13619	0.17976	0.17216	-1.23252	0.23863	1.22218	-28.44839	0.209922798378671	0.21207	0.17773	0.2275	0.22239	-0.35102	0.18564	5.24033	-21.18723
"stick"	4	0.422461088909768	0.171280362643301	0.378686858018573	1.00707402483446	0.33955	0.41207	0.23255	0.53058	0.57166	0.12422	11.66757	-5.90831	0.166057252378404	0.12433	0.16513	0.13105	0.24372	-1.12356	0.2766	-1.13985	-18.82172	0.21368145684516	0.16298	0.21518	0.1629	0.31367	-0.39646	0.2243	2.2134	-13.97807
"stick"	4	0.286760196345858	0.000510172103531659	0.285862254309804	1.00224215047143	0.28597	0.28579	0.28601	0.28568	0.99999	0.00052	99.29506	-2.61796	0.153993008927531	0.15396	0.15388	0.15411	0.15402	0.16369	0.13736	10.05883	-48.42213	0.192196030415138	0.19219	0.19208	0.19232	0.19219	0.62201	0.09235	16.41186	-112.4638
"stick"	4	0.190853505767882	0.035276685084682	0.150944011644958	1.22197496831835	0.14706	0.13972	0.18257	0.13443	0.95477	0.02766	35.70389	-2.69325	0.126060367614051	0.12315	0.11608	0.15813	0.10688	0.72199	0.06857	21.17653	-13.71515	0.149995724595559	0.14641	0.13817	0.18559	0.12981	0.8808	0.0449	27.95147	-7.65704
"stick"	4	0.108063054166269	0.0071259870310314	0.128222855485466	0.848727197881272	0.119	0.13111	0.13485	0.12794	0.99237	0.00686	58.01068	-1.19287	0.0814523605557976	0.07505	0.08296	0.08643	0.08136	0.85489	0.0299	34.4529	-21.02863	0.0911728560074166	0.08419	0.09301	0.09645	0.09104	0.93849	0.01947	41.31948	-12.51573
"stick"	4	0.472571377840359	0.236218240694143	0.330535543067404	1.33708430958572	0.27054	0.26891	0.41697	0.36572	0.23178	0.24511	0.79391	-6.86388	0.196565628956	0.16497	0.22255	0.1916	0.20714	-0.87496	0.38292	-6.34418	-18.62288	0.266340277198162	0.22074	0.2797	0.28068	0.28425	-0.29159	0.31782	-3.36246	-13.85239
"stick"	4	0.249422177602537	0.0435270013986155	0.235286704481572	1.07228937215312	0.26269	0.24241	0.22953	0.20652	0.94603	0.03509	31.89214	-5.17417	0.147241263711298	0.17461	0.15518	0.14065	0.11853	0.40294	0.11673	12.6629	-22.11975	0.181243127300585	0.21122	0.18944	0.17412	0.1502	0.72093	0.07981	18.74752	-13.91366
"stick"	4	0.0932249914389104	0.0931674491730519	0.226072346801312	0.655010288955327	0.03975	0.35403	0.19403	0.31649	0.34991	0.11718	12.60132	-10.52941	0.0936844403726801	0.04024	0.15571	0.04349	0.1353	0.73662	0.07459	19.82934	-6.85028	0.10563721857445	0.03907	0.17325	0.05955	0.15068	0.69683	0.08002	18.70395	-7.22313
"stick"	4	0.250665863335598	0.228672017110512	0.0813163280058916	3.33471341322719	0.10801	0.07189	0.07182	0.07356	0.54746	0.18447	5.34099	-4.5798	0.182826578513752	0.26021	0.15348	0.14742	0.17019	0.4014	0.21217	3.10321	-8.55948	0.238582173199252	0.32552	0.20726	0.20469	0.21687	0.52862	0.18827	5.01463	-5.68587
"stick"	4	0.071618131082505	0.000900766463018954	0.0731393324696793	0.982373791348494	0.07286	0.07348	0.07336	0.07286	0.99974	0.00093	89.92025	-1.32501	0.0600238333380315	0.05975	0.06029	0.06024	0.05982	0.95189	0.01266	48.21201	-46.3811	0.0650999464558393	0.06482	0.06539	0.06532	0.06486	0.98484	0.0071	57.44894	-33.31131
"stick"	4	0.483168111962732	0.015896548400633	0.479913194329	0.999478842708041	0.49756	0.46895	0.48145	0.47169	0.98931	0.01623	44.23058	-0.78939	0.181434169575115	0.18851	0.17522	0.18365	0.17836	-2.47467	0.29268	-2.04438	-41.26427	0.239939461908018	0.24943	0.23165	0.24306	0.23562	-0.97814	0.22084	2.46235	-51.28153
"stick"	4	0.446463725075591	0.102460162248462	0.343201373671994	1.14995094794557	0.31304	0.39277	0.42606	0.24094	0.74203	0.09258	16.3711	-3.8429	0.180945429737168	0.14877	0.20329	0.21569	0.15602	-0.96401	0.25546	0.13183	-20.57807	0.238337333356431	0.19792	0.2692	0.28817	0.19806	-0.08112	0.18954	4.9077	-14.20045
"stick"	4	0.229818286374211	0.203943697386421	0.125619856586235	1.88145759888514	0.1911	0.10542	0.18657	0.0194	0.59399	0.16658	6.97309	-3.88125	0.164503806791538	0.26114	0.12787	0.25122	0.01779	0.59002	0.1674	6.8951	-7.023	0.201140550860639	0.31303	0.16185	0.30467	0.02502	0.61891	0.16139	7.47979	-5.37952
"mult"	4	0.491806748008821	0.23739773593843	0.347505795523695	3.84750281277164	0.32746	0.29866	0.36851	0.39539	0.25644	0.72685	-16.59837	-11.38183	0.459066540962022	0.41471	0.32515	0.49772	0.59869	0.8498	0.32668	-3.80277	-7.39492	0.822160516573298	0.77114	0.61907	0.88873	1.00969	0.87963	0.29244	-2.03116	-1.44556
"mult"	4	0.325875465536956	0.0966390090761706	0.324211706985983	2.44767807602102	0.31068	0.35191	0.30638	0.32788	0.10982	0.50369	-10.73016	-21.23803	0.332704507598548	0.28822	0.38279	0.29333	0.36648	0.96904	0.09394	16.13844	-2.61586	0.502860262732419	0.45817	0.56988	0.45275	0.53064	0.81212	0.2314	1.71501	-10.03535
"mult"	4	0.325818645243999	0.113333286135457	0.331351857741133	2.40087610367999	0.34391	0.3453	0.3047	0.3315	0.06351	0.50921	-10.90455	-20.98699	0.328868286972231	0.366	0.35395	0.28166	0.31385	0.96427	0.09947	15.22413	-0.89566	0.500888371789991	0.54044	0.53553	0.4383	0.48928	0.79481	0.23835	1.24127	-7.30658
"mult"	4	0.478352100797929	0.199140192882624	0.323300466261341	4.16131773759488	0.32936	0.30042	0.33711	0.32632	-0.06596	0.91711	-20.31855	-23.01455	0.464102222786051	0.46446	0.38664	0.52781	0.4775	0.97843	0.13046	10.88437	-2.42359	0.832120405392878	0.84542	0.73592	0.90614	0.84101	0.77948	0.41713	-7.71326	-16.04618
"mult"	4	0.271029672469012	0.119434014777653	0.326819427429002	1.83555261832396	0.22551	0.3643	0.3541	0.36336	0.0933	0.41681	-7.70087	-20.24292	0.279520880621687	0.1477	0.3573	0.3028	0.31029	0.90553	0.13454	10.39162	-3.15522	0.38718679507888	0.22803	0.46757	0.42104	0.43211	0.73537	0.22518	2.15083	-8.43099
"mult"	4	0.280342280794866	0.0311051011667587	0.329580939399518	1.95712417656668	0.32257	0.33096	0.33845	0.32634	0.25967	0.36608	-5.62471	-38.21128	0.289248988446633	0.28029	0.28876	0.30319	0.28475	0.99361	0.034	32.39839	-3.86314	0.413188028338011	0.4022	0.41361	0.42905	0.40788	0.8777	0.14879	8.78003	-20.42577
"mult"	4	0.466824412369169	0.249364137707744	0.147915377572777	6.88927498110274	0.15726	0.12452	0.17857	0.13131	0.65782	0.55071	-12.15837	-5.58319	0.494962605374487	0.48866	0.43256	0.69906	0.35957	0.8653	0.34552	-4.69991	-8.40988	0.856003035346867	0.89592	0.72812	1.07793	0.72203	0.79721	0.42396	-7.97308	-4.68247
"mult"	4	0.447475638508331	0.183816946984734	0.327654978095643	3.62508461236227	0.29455	0.35914	0.36169	0.29524	0.00297	0.81092	-18.34956	-17.50346	0.441631924633327	0.29568	0.54705	0.56493	0.35886	0.94468	0.19101	4.78383	-5.06072	0.743346111562197	0.59811	0.86901	0.88101	0.62526	0.76322	0.39518	-6.8485	-7.32004
"mult"	4	0.261991464183666	0.17008035274921	0.322192012895699	1.70318936469155	0.41851	0.30913	0.3171	0.24403	0.37448	0.27704	-1.16527	-7.99149	0.244320829265017	0.34766	0.22245	0.23676	0.17041	0.82443	0.14677	8.99901	-3.36444	0.342283704920086	0.47885	0.315	0.33041	0.24488	0.8584	0.13181	10.7193	-0.85526
"mult"	4	0.165435232897289	0.0960467582335696	0.0595153441713713	3.76719225321376	0.05691	0.0486	0.07177	0.06078	0.85858	0.08512	17.71527	-2.50484	0.170872968100983	0.16314	0.14064	0.2106	0.16911	0.90391	0.07017	20.80649	-7.33032	0.208661665540017	0.19947	0.17048	0.25317	0.21153	0.88412	0.07706	19.30856	-3.84257
"mult"	4	0.416857458278537	0.230006564757787	0.315061048715295	3.27808258331473	0.29325	0.32147	0.35361	0.29192	0.02674	0.65259	-14.87404	-15.02943	0.380963674921574	0.33074	0.35829	0.47382	0.361	0.91826	0.18912	4.94293	-2.54824	0.635940043563386	0.56688	0.63113	0.76016	0.58558	0.81791	0.28227	-1.46465	-7.87064
"mult"	4	0.332027024321724	0.215487767301966	0.102837996259335	4.97462810611185	0.12684	0.08034	0.09786	0.10632	0.67013	0.29157	-1.98352	-1.34613	0.308977243888042	0.43195	0.24202	0.27165	0.29029	0.76713	0.24498	0.80244	-7.55138	0.448465425920316	0.57307	0.34939	0.41833	0.45306	0.73929	0.25921	-0.1011	-2.76969
"mult"	4	0.410301131627057	0.0538928814348765	0.323527077627251	3.33177194086882	0.3188	0.31369	0.32965	0.33197	0.04182	0.68843	-15.7295	-29.32902	0.403946643210506	0.38786	0.37545	0.42994	0.42253	0.99408	0.05411	24.96514	-2.99458	0.672789350773066	0.65489	0.6364	0.69991	0.69995	0.82712	0.29242	-2.02992	-32.96933
"mult"	4	0.153468924399931	0.12488370219944	0.303583299835222	1.00149423437656	0.36457	0.19139	0.32838	0.33	0.48148	0.19623	4.35267	-0.85627	0.183231491773604	0.22642	0.07234	0.21083	0.22333	0.73128	0.14126	9.61119	-9.29509	0.216255754370718	0.26441	0.10909	0.24188	0.24965	0.71724	0.14491	9.20372	-6.28809
"mult"	4	0.497062724537682	0.075854564725887	0.322776794381733	4.64495641342753	0.31505	0.31056	0.32974	0.33576	-0.19349	1.11829	-23.49179	-34.80281	0.505058838140474	0.44582	0.48011	0.55057	0.54374	0.99158	0.09393	16.1396	-4.59343	0.929872080708312	0.87741	0.8817	0.97391	0.98647	0.70604	0.55499	-12.28224	-36.57812
"mult"	4	0.151714675570838	0.174092138418928	0.108390923282162	2.43482700166528	0.10536	0.07551	0.13201	0.12068	0.54528	0.1845	5.33864	-4.38836	0.18291518701386	0.20711	0.10251	0.22361	0.19843	0.73067	0.14199	9.5284	-4.69522	0.229431261201557	0.23722	0.14733	0.28003	0.25314	0.64956	0.16197	7.42254	-4.37619
"mult"	4	0.266253936977591	0.209933329431806	0.0723982560909421	4.94034764300072	0.08463	0.06402	0.06169	0.07924	0.65364	0.20658	3.53012	-2.55891	0.226389537953255	0.26219	0.20411	0.19804	0.24121	0.58667	0.22567	2.11606	-5.23912	0.318631178670922	0.37219	0.28235	0.2728	0.34718	0.67678	0.19956	4.08333	-2.79058
"mult"	4	0.488000798609573	0.0943100320291705	0.323966155263334	4.45318664760158	0.34094	0.30846	0.31857	0.32789	-0.12271	1.04548	-22.4146	-25.55926	0.496403979762033	0.56009	0.44178	0.46115	0.52259	0.98598	0.11685	12.6467	-2.31897	0.897993810484632	0.98113	0.83028	0.86277	0.9178	0.73019	0.51252	-11.00837	-18.96499
"mult"	4	0.437998110265471	0.119633809255902	0.327457223502797	3.80768907934215	0.3356	0.32612	0.31294	0.33517	-0.13348	0.88291	-19.71042	-31.87103	0.441104282280144	0.43571	0.42991	0.42149	0.47731	0.98402	0.10482	14.38451	-2.13573	0.773010015477865	0.78562	0.7625	0.7323	0.81162	0.73769	0.42474	-8.00242	-18.21363
"mult"	4	0.133415009104647	0.217744225345086	0.338912797052663	0.645907147366396	0.41385	0.34918	0.2769	0.31573	-0.00972	0.18777	5.05784	-6.60737	0.101219246459146	0.17761	0.13246	0.0414	0.05341	-0.54283	0.2321	1.66623	-20.37972	0.118986470551966	0.19361	0.14461	0.05958	0.07815	-0.36379	0.21822	2.65306	-17.71317
"mult"	4	0.102806425106246	0.0779235505615361	0.148579485917484	0.987924736828352	0.12902	0.0892	0.22718	0.14892	0.70057	0.07709	19.30205	-3.75278	0.107703340813797	0.09479	0.06555	0.1778	0.09267	0.81016	0.06138	22.94737	-5.67866	0.122136656081063	0.10658	0.07412	0.19568	0.11217	0.79029	0.06451	22.15107	-4.0471
"mult"	4	0.278573595080525	0.0621755595784634	0.309667189826605	2.06682651145556	0.30843	0.31381	0.29989	0.31654	0.19187	0.3668	-5.6561	-20.56381	0.279263113696267	0.27317	0.29459	0.25964	0.28966	0.97564	0.06368	22.35895	-1.67226	0.404805093993565	0.39974	0.41896	0.38166	0.41886	0.87927	0.14178	9.55305	-13.86548
"mult"	4	0.258504660672043	0.0823506728047505	0.151957863399975	2.89932160784369	0.17297	0.15414	0.14553	0.13519	0.6627	0.22038	2.49541	-7.60647	0.262082310700548	0.30367	0.262	0.23811	0.24456	0.94969	0.08511	17.71797	-1.99271	0.363414003687573	0.41786	0.36585	0.34069	0.32926	0.83872	0.15239	8.39787	-3.59232
"mult"	4	0.271490935410839	0.0251876207767054	0.322095433928454	1.846812019302	0.31439	0.32781	0.32617	0.32001	0.28236	0.32485	-3.71271	-33.79448	0.269574956726998	0.26353	0.27233	0.26981	0.27263	0.99596	0.02437	37.72507	-4.00227	0.380315001680494	0.37036	0.3869	0.38293	0.38106	0.90122	0.12052	12.15223	-26.63503
